OID,Id,ORIG_FID,dswrf1,dswrf2,dswrf3,dswrf4,dswrf5,dswrf6,dswrf7,dswrf8,dswrf9,dswrf10,dswrf11,dswrf12
39,53693,13509,29.80661583,75.33328247,152.8299866,243.6299591,304.1832886,324.1966553,283.0966492,229.8966522,159.7499695,91.56661224,39.29328537,18.53994942
40,53694,13510,29.58328438,74.90996552,151.4165955,239.1199493,294.6366272,317.9966431,279.6533203,229.5966339,158.436615,90.63993835,39.08994675,18.483284
41,53695,13511,29.58328438,74.90996552,151.4165955,239.1199493,294.6366272,317.9966431,279.6533203,229.5966339,158.436615,90.63993835,39.08994675,18.483284
42,53696,13512,28.79995346,73.233284,147.6166229,231.1465759,279.2000427,299.7166443,271.0566101,226.6332855,154.779953,86.63661194,38.03327942,18.03995323
43,53697,13513,28.79995346,73.233284,147.6166229,231.1465759,279.2000427,299.7166443,271.0566101,226.6332855,154.779953,86.63661194,38.03327942,18.03995323
44,53698,13514,28.16328621,72.03328705,145.4732971,226.6366272,273.2432556,293.539978,269.6532898,224.7966309,152.2766418,84.69995117,37.40661621,17.70662117
45,53699,13515,28.16328621,72.03328705,145.4732971,226.6366272,273.2432556,293.539978,269.6532898,224.7966309,152.2766418,84.69995117,37.40661621,17.70662117
46,53700,13516,28.02328873,71.93663025,145.9299164,226.539978,273.2733154,292.8232422,271.9466248,225.1232758,151.5366364,83.93661499,37.35327911,17.64328575
47,53701,13517,28.02328873,71.93663025,145.9299164,226.539978,273.2733154,292.8232422,271.9466248,225.1232758,151.5366364,83.93661499,37.35327911,17.64328575
48,53702,13518,28.39995384,72.94662476,148.9866028,230.8399506,279.2699585,297.5733032,277.9266357,227.6199646,152.5832825,84.35995483,37.88661575,17.8499527
49,53703,13519,28.39995384,72.94662476,148.9866028,230.8399506,279.2699585,297.5733032,277.9266357,227.6199646,152.5832825,84.35995483,37.88661575,17.8499527
50,53704,13520,28.88328743,73.98661804,151.0132751,234.736618,284.706604,303.4599609,282.226593,228.7732697,153.4366302,85.00328827,38.36328888,18.08328629
51,53705,13521,28.88328743,73.98661804,151.0132751,234.736618,284.706604,303.4599609,282.226593,228.7732697,153.4366302,85.00328827,38.36328888,18.08328629
52,53706,13522,28.93328667,74.21328735,151.2465973,236.029953,287.3632507,306.2099304,284.4432983,228.6366119,153.7132874,85.73661041,38.20661545,18.0299511
53,53707,13523,28.54328156,73.61328888,149.7199402,234.6932831,287.2533569,305.8333435,284.5799866,227.1666412,153.4532928,86.55995941,37.39328766,17.71661758
54,53708,13524,28.54328156,73.61328888,149.7199402,234.6932831,287.2533569,305.8333435,284.5799866,227.1666412,153.4532928,86.55995941,37.39328766,17.71661758
55,53709,13525,28.27661514,72.85995483,147.8833008,234.6466217,288.4099731,305.1099548,283.0266418,225.5066376,151.7432556,86.31661987,37.27329254,17.61661911
56,53710,13526,28.27661514,72.85995483,147.8833008,234.6466217,288.4099731,305.1099548,283.0266418,225.5066376,151.7432556,86.31661987,37.27329254,17.61661911
57,53711,13527,28.01662254,72.05661774,146.1366119,233.2466125,288.6966553,304.2966919,281.6766052,223.7433014,150.4199371,85.96660614,37.06328583,17.45328712
58,53712,13528,28.01662254,72.05661774,146.1366119,233.2466125,288.6966553,304.2966919,281.6766052,223.7433014,150.4199371,85.96660614,37.06328583,17.45328712
59,53713,13529,27.79995537,71.14995575,144.4933014,230.5666656,288.1166382,303.4099731,280.4833069,221.873291,149.499939,85.50662231,36.78995514,17.23995209
60,53714,13530,27.79995537,71.14995575,144.4933014,230.5666656,288.1166382,303.4099731,280.4833069,221.873291,149.499939,85.50662231,36.78995514,17.23995209
61,53715,13531,28.24995613,72.09996033,146.0866241,230.0566101,289.3265686,306.3832703,281.4399719,222.3666229,150.4332886,86.14994049,37.30661774,17.54995155
62,53716,13532,28.24995613,72.09996033,146.0866241,230.0566101,289.3265686,306.3832703,281.4399719,222.3666229,150.4332886,86.14994049,37.30661774,17.54995155
63,53717,13533,28.79995155,73.33661652,148.0666046,231.3266296,290.7432861,308.6733093,281.9332581,222.4666138,151.3532867,87.04663086,37.94328308,17.88328362
64,53718,13534,28.79995155,73.33661652,148.0666046,231.3266296,290.7432861,308.6733093,281.9332581,222.4666138,151.3532867,87.04663086,37.94328308,17.88328362
65,53719,13535,29.45328522,74.89328766,150.3899384,234.3766327,292.416626,310.1900024,281.9099426,222.1766663,152.2365875,88.18994904,38.6799469,18.22994995
66,53720,13536,29.45328522,74.89328766,150.3899384,234.3766327,292.416626,310.1900024,281.9099426,222.1766663,152.2365875,88.18994904,38.6799469,18.22994995
67,53721,13537,29.58661842,74.97328949,150.7066193,235.8499298,295.3032837,313.2699585,285.1232605,222.7165985,153.9299469,88.89661407,39.01995468,18.2499485
68,53722,13538,29.3099556,74.04994965,149.4933014,235.3599243,297.2799683,316.47995,288.5899353,224.3132782,154.9399567,88.51994324,38.82661819,18.05661774
69,53723,13539,29.3099556,74.04994965,149.4933014,235.3599243,297.2799683,316.47995,288.5899353,224.3132782,154.9399567,88.51994324,38.82661819,18.05661774
70,53724,13540,28.60662079,72.09327698,146.7032928,232.9466095,298.3799438,319.8366394,292.3499451,226.9766235,155.22995,87.03662872,38.15995026,17.66328239
71,53725,13541,28.60662079,72.09327698,146.7032928,232.9466095,298.3799438,319.8366394,292.3499451,226.9766235,155.22995,87.03662872,38.15995026,17.66328239
72,53739,13542,29.13995552,74.34328461,152.853302,244.1165924,296.5932922,303.6599731,259.8432922,196.8632813,121.783287,65.82328796,28.68661499,16.50328636
73,53740,13543,29.13995552,74.34328461,152.853302,244.1165924,296.5932922,303.6599731,259.8432922,196.8632813,121.783287,65.82328796,28.68661499,16.50328636
74,53741,13544,28.63328362,73.51995087,151.7332916,243.5432739,290.2466125,294.5365906,256.309967,193.6699371,120.1166229,65.60329437,28.57328224,15.72661972
75,53742,13545,28.63328362,73.51995087,151.7332916,243.5432739,290.2466125,294.5365906,256.309967,193.6699371,120.1166229,65.60329437,28.57328224,15.72661972
76,53743,13546,28.34994888,73.44995117,150.4832611,241.8232727,299.5299683,315.3966064,279.6766357,212.8933105,138.2632751,79.14328766,34.12328339,17.04662132
77,53744,13547,28.34994888,73.44995117,150.4832611,241.8232727,299.5299683,315.3966064,279.6766357,212.8933105,138.2632751,79.14328766,34.12328339,17.04662132
78,53745,13548,28.63661575,74.4132843,151.4466248,242.2732697,305.9066162,325.8166809,292.0266418,223.1933136,149.009964,86.52329254,37.25328445,17.86995316
79,53746,13549,28.63661575,74.4132843,151.4466248,242.2732697,305.9066162,325.8166809,292.0266418,223.1933136,149.009964,86.52329254,37.25328445,17.86995316
80,53747,13550,29.43995285,76.42328644,154.5666351,244.906601,309.4566345,325.7832642,293.3699341,224.5932922,152.3233032,87.78327942,37.97662354,18.18662262
81,53748,13551,29.43995285,76.42328644,154.5666351,244.906601,309.4566345,325.7832642,293.3699341,224.5932922,152.3233032,87.78327942,37.97662354,18.18662262
82,53749,13552,29.76995277,76.30994415,154.259964,244.6665955,305.3233032,321.0199585,286.3266296,218.009964,147.9432831,84.19995117,37.09661484,18.16661835
83,53750,13553,29.76995277,76.30994415,154.259964,244.6665955,305.3233032,321.0199585,286.3266296,218.009964,147.9432831,84.19995117,37.09661484,18.16661835
84,53753,13554,28.04661942,70.65328217,145.0866089,231.6233063,287.0932922,304.1899414,274.4099731,210.8532867,139.9499664,77.0632782,34.60662079,16.97328758
85,53754,13555,28.06661797,70.97995758,145.343277,231.0999603,289.289978,303.3766174,273.1233215,210.7132874,140.0799408,78.26327515,34.54328156,17.06662178
86,53755,13556,28.06661797,70.97995758,145.343277,231.0999603,289.289978,303.3766174,273.1233215,210.7132874,140.0799408,78.26327515,34.54328156,17.06662178
87,53756,13557,28.58328438,73.00328827,148.7799377,232.736618,287.8666382,295.2032776,266.5332947,206.7532806,136.7099609,76.30327606,33.41661835,16.69995308
88,53816,13558,22.55662155,56.98328018,115.1032791,186.8632965,246.97995,265.8199463,247.9999237,204.4432983,134.5499573,72.733284,30.61995125,14.51328659
89,53817,13559,22.55662155,56.98328018,115.1032791,186.8632965,246.97995,265.8199463,247.9999237,204.4432983,134.5499573,72.733284,30.61995125,14.51328659
90,53818,13560,22.61662102,56.83328629,114.0566406,186.7332611,247.2232971,266.7832642,248.2866211,205.2432709,134.8299408,72.76661682,30.66328621,14.55661964
91,53824,13561,22.80994987,57.03329086,114.026619,187.6266327,253.1432953,279.7133179,258.5266418,208.5899353,135.7132721,72.70328522,30.9432869,14.57995224
92,53825,13562,22.80994987,57.03329086,114.026619,187.6266327,253.1432953,279.7133179,258.5266418,208.5899353,135.7132721,72.70328522,30.9432869,14.57995224
93,53826,13563,23.60661888,58.94995117,118.2566071,193.1266174,261.063324,289.2066345,268.5132751,213.0532684,139.5599518,74.96328735,32.14995193,15.08661938
94,53827,13564,24.49995232,62.14329529,125.5499725,205.1199188,274.2866211,304.5032959,279.2399292,218.6266327,145.6632843,79.07662201,33.38661957,15.5766201
95,53828,13565,24.49995232,62.14329529,125.5499725,205.1199188,274.2866211,304.5032959,279.2399292,218.6266327,145.6632843,79.07662201,33.38661957,15.5766201
96,53829,13566,25.09661675,64.15661621,130.6566162,212.2399597,281.0632935,309.1599731,282.2866211,221.4233398,149.5066071,81.47994232,34.13328552,15.87328529
97,53830,13567,25.09661675,64.15661621,130.6566162,212.2399597,281.0632935,309.1599731,282.2866211,221.4233398,149.5066071,81.47994232,34.13328552,15.87328529
98,53831,13568,25.40328789,65.029953,133.5799408,214.5166168,281.3765869,303.1166687,277.6499634,221.4166565,151.1099548,82.15328217,34.33662033,16.0299511
99,53832,13569,25.40328789,65.029953,133.5799408,214.5166168,281.3765869,303.1166687,277.6499634,221.4166565,151.1099548,82.15328217,34.33662033,16.0299511
100,53833,13570,26.41661835,68.88994598,139.823288,221.4333038,287.5666199,303.1733093,280.3599243,223.3766479,155.3299713,83.28994751,34.58995819,16.5766201
101,53834,13571,26.41661835,68.88994598,139.823288,221.4333038,287.5666199,303.1733093,280.3599243,223.3766479,155.3299713,83.28994751,34.58995819,16.5766201
102,53835,13572,25.83662033,67.779953,138.1333008,218.7833099,284.4666443,300.163269,279.666626,222.489975,154.1532593,81.66995239,33.57328796,16.14328384
103,53836,13573,25.83662033,67.779953,138.1333008,218.7833099,284.4666443,300.163269,279.666626,222.489975,154.1532593,81.66995239,33.57328796,16.14328384
104,53837,13574,23.61328888,61.67328644,128.5366364,206.5799866,272.0832825,294.1199341,275.5266418,218.7266235,147.5632782,77.2966156,31.28995132,14.72995281
105,53838,13575,23.61328888,61.67328644,128.5366364,206.5799866,272.0832825,294.1199341,275.5266418,218.7266235,147.5632782,77.2966156,31.28995132,14.72995281
106,53839,13576,22.82328606,59.54994583,124.189949,201.6499634,270.646637,297.0099792,281.2332764,221.9266052,145.6699524,75.61662292,30.86328697,14.41328812
107,53840,13577,22.82328606,59.54994583,124.189949,201.6499634,270.646637,297.0099792,281.2332764,221.9266052,145.6699524,75.61662292,30.86328697,14.41328812
108,53842,13578,23.68328667,64.25662231,132.8599548,210.5932922,280.5499573,307.3900452,289.3666382,225.6699371,148.8999634,76.59661102,31.4366169,14.9632864
109,53843,13579,23.68328667,64.25662231,132.8599548,210.5932922,280.5499573,307.3900452,289.3666382,225.6699371,148.8999634,76.59661102,31.4366169,14.9632864
110,53844,13580,25.24661636,67.96996307,137.9399567,217.9333038,285.999939,309.7166748,290.4966431,226.5099792,153.1265717,80.60995483,32.67995453,15.9432888
111,53845,13581,25.24661636,67.96996307,137.9399567,217.9333038,285.999939,309.7166748,290.4966431,226.5099792,153.1265717,80.60995483,32.67995453,15.9432888
112,53846,13582,26.09995079,69.6166153,140.2799683,220.3632965,285.5766602,306.5966492,287.9199524,225.413269,154.3265991,82.6099472,33.38995361,16.41328812
113,53847,13583,26.09995079,69.6166153,140.2799683,220.3632965,285.5766602,306.5966492,287.9199524,225.413269,154.3265991,82.6099472,33.38995361,16.41328812
114,53848,13584,26.233284,69.19329071,139.8566284,217.8999481,279.3199463,298.0466614,281.6599731,222.4099884,152.529953,82.60327148,33.56661987,16.40662003
115,53849,13585,26.233284,69.19329071,139.8566284,217.8999481,279.3199463,298.0466614,281.6599731,222.4099884,152.529953,82.60327148,33.56661987,16.40662003
116,53850,13586,26.2332859,68.81995392,139.7166138,216.7632751,275.0066528,292.5899658,277.9332886,221.0399475,151.1199493,81.90996552,33.76328659,16.47661591
117,53851,13587,26.2332859,68.81995392,139.7166138,216.7632751,275.0066528,292.5899658,277.9332886,221.0399475,151.1199493,81.90996552,33.76328659,16.47661591
118,53852,13588,26.44328499,68.98995972,140.0366211,216.7166138,272.0799561,288.206604,273.9999695,219.4099274,150.093277,81.72328186,34.31328964,16.58995247
119,53853,13589,26.44328499,68.98995972,140.0366211,216.7166138,272.0799561,288.206604,273.9999695,219.4099274,150.093277,81.72328186,34.31328964,16.58995247
120,53854,13590,26.88995171,69.68994904,140.8432922,217.7666016,270.5132751,284.8833008,269.8299561,217.4999542,149.4132843,82.02661896,35.15995407,16.74328613
121,53855,13591,26.88995171,69.68994904,140.8432922,217.7666016,270.5132751,284.8833008,269.8299561,217.4999542,149.4132843,82.02661896,35.15995407,16.74328613
122,53856,13592,27.29661751,70.30995178,141.7699585,218.7699738,270.0066528,285.2199402,268.3765869,217.1866608,148.6099548,82.11328125,35.74995804,17.01328468
123,53857,13593,27.51994896,70.43328094,142.0332794,218.2999573,268.7399597,284.8099976,267.1566467,216.249939,147.4599609,82.02327728,35.98995209,17.1466198
124,53858,13594,27.51994896,70.43328094,142.0332794,218.2999573,268.7399597,284.8099976,267.1566467,216.249939,147.4599609,82.02327728,35.98995209,17.1466198
125,53859,13595,27.61662102,70.09329224,141.6366272,216.4032898,266.72995,283.5966492,266.14328,214.6566467,145.9599457,81.74662018,35.90662003,17.02661896
126,53860,13596,27.61662102,70.09329224,141.6366272,216.4032898,266.72995,283.5966492,266.14328,214.6566467,145.9599457,81.74662018,35.90662003,17.02661896
127,53861,13597,27.58328438,70.11328888,142.1766205,216.406601,266.269928,282.3533325,267.559967,214.8566132,145.4966125,81.92661285,35.94995117,16.98995018
128,53862,13598,27.58328438,70.11328888,142.1766205,216.406601,266.269928,282.3533325,267.559967,214.8566132,145.4966125,81.92661285,35.94995117,16.98995018
129,53863,13599,27.67661858,70.62329102,143.1799469,217.4033356,266.8366394,281.72995,268.3733215,214.8699799,145.6132813,82.37995911,36.12995148,17.07328415
130,53864,13600,27.67661858,70.62329102,143.1799469,217.4033356,266.8366394,281.72995,268.3733215,214.8699799,145.6132813,82.37995911,36.12995148,17.07328415
131,53865,13601,27.93328667,71.63328552,144.6299591,219.3766632,268.3866272,281.6566467,268.5332947,214.7099609,146.2499542,83.13330078,36.49328232,17.21994972
132,53866,13602,27.93328667,71.63328552,144.6299591,219.3766632,268.3866272,281.6566467,268.5332947,214.7099609,146.2499542,83.13330078,36.49328232,17.21994972
133,53867,13603,27.91661644,71.83328247,145.1099548,220.3599243,269.8199463,281.4766235,267.3233032,214.279953,146.1199646,83.04328918,36.66661835,17.26995277
134,53868,13604,27.91661644,71.83328247,145.1099548,220.3599243,269.8199463,281.4766235,267.3233032,214.279953,146.1199646,83.04328918,36.66661835,17.26995277
135,53869,13605,27.64328575,71.33327484,145.0199738,219.4699707,269.8399048,281.0932922,266.059967,213.4799652,145.4199524,82.39994812,36.5066185,17.15995026
136,53870,13606,27.64328575,71.33327484,145.0199738,219.4699707,269.8399048,281.0932922,266.059967,213.4799652,145.4199524,82.39994812,36.5066185,17.15995026
137,53871,13607,27.16328049,70.13994598,144.3299408,216.7066345,268.4199829,280.4499207,264.7299805,212.2866364,144.146637,81.20662689,36.04994583,16.87995148
138,53872,13608,26.85995483,69.70661926,142.7032928,215.8766174,267.4499512,280.3899536,264.4232788,212.7199402,143.7099457,80.68994904,35.90328217,16.75328636
139,53873,13609,26.85995483,69.70661926,142.7032928,215.8766174,267.4499512,280.3899536,264.4232788,212.7199402,143.7099457,80.68994904,35.90328217,16.75328636
140,53874,13610,27.05662346,70.31328583,143.3266296,216.823288,268.083313,281.14328,264.7199402,213.2866058,143.9665985,81.10995483,36.23995209,16.97661781
141,53875,13611,27.05662346,70.31328583,143.3266296,216.823288,268.083313,281.14328,264.7199402,213.2866058,143.9665985,81.10995483,36.23995209,16.97661781
142,53876,13612,27.78661728,71.97661591,146.1699677,219.5266266,270.3266296,282.646637,265.6000061,213.97995,144.8932953,82.47663879,37.06328583,17.43328476
143,53877,13613,27.78661728,71.97661591,146.1699677,219.5266266,270.3266296,282.646637,265.6000061,213.97995,144.8932953,82.47663879,37.06328583,17.43328476
144,53878,13614,28.46328545,73.6832962,149.6732788,224.073288,274.8032837,286.2799683,267.8966064,215.1032867,145.6632843,84.79328918,38.04328537,18.01328659
145,53879,13615,28.46328545,73.6832962,149.6732788,224.073288,274.8032837,286.2799683,267.8966064,215.1032867,145.6632843,84.79328918,38.04328537,18.01328659
146,53880,13616,28.79328728,74.40328979,151.1066284,225.8799438,275.4699097,288.3599243,269.1599731,215.2732849,145.8466187,86.00995636,38.41994858,18.27994919
147,53881,13617,28.79328728,74.40328979,151.1066284,225.8799438,275.4699097,288.3599243,269.1599731,215.2732849,145.8466187,86.00995636,38.41994858,18.27994919
148,53882,13618,28.75328636,74.13327789,150.5099487,224.9533081,272.4033508,288.9299927,269.3732605,214.5266113,145.4099426,86.08662415,38.22328949,18.21661949
149,53883,13619,28.75328636,74.13327789,150.5099487,224.9533081,272.4033508,288.9299927,269.3732605,214.5266113,145.4099426,86.08662415,38.22328949,18.21661949
150,53884,13620,28.16995621,72.58662415,148.1732941,222.2365875,270.7566223,289.1699829,270.416626,213.9732971,144.1466217,85.03995514,37.60328674,17.86995506
151,53885,13621,28.16995621,72.58662415,148.1732941,222.2365875,270.7566223,289.1699829,270.416626,213.9732971,144.1466217,85.03995514,37.60328674,17.86995506
152,53886,13622,27.83995247,71.65661621,146.2599487,220.1666107,269.5899658,288.7166443,271.2432556,213.0133209,143.6666107,83.93326569,37.35662079,17.62661743
153,53887,13623,27.71661758,71.33328247,144.7299652,218.7366333,268.896637,287.5866394,271.8999329,211.6232758,143.9866333,82.75662231,37.46995926,17.48995399
154,53888,13624,27.71661758,71.33328247,144.7299652,218.7366333,268.896637,287.5866394,271.8999329,211.6232758,143.9866333,82.75662231,37.46995926,17.48995399
155,53889,13625,28.12661934,72.32328033,146.3132782,222.6266479,271.0032959,288.4165955,272.9732666,212.7099304,145.5066071,82.97994995,37.98994827,17.74328613
156,53890,13626,28.12661934,72.32328033,146.3132782,222.6266479,271.0032959,288.4165955,272.9732666,212.7099304,145.5066071,82.97994995,37.98994827,17.74328613
157,53891,13627,28.40661621,73.02993774,147.4266205,225.4499512,272.5866089,289.1366577,273.8432617,213.5532684,146.5899506,83.30329132,38.3566246,17.91995239
158,53892,13628,28.40661621,73.02993774,147.4266205,225.4499512,272.5866089,289.1366577,273.8432617,213.5532684,146.5899506,83.30329132,38.3566246,17.91995239
159,53893,13629,28.5532856,73.39328766,148.049942,227.236618,273.6533203,289.7799377,274.5499268,214.1532898,147.2299652,83.77662659,38.51328659,18.03661728
160,53894,13630,28.5532856,73.39328766,148.049942,227.236618,273.6533203,289.7799377,274.5499268,214.1532898,147.2299652,83.77662659,38.51328659,18.03661728
161,53895,13631,28.09328461,72.32661438,146.7199249,226.0932922,273.9900208,291.163269,274.6799927,215.3766327,145.7566071,83.21660614,38.0066185,17.76995277
162,53896,13632,28.09328461,72.32661438,146.7199249,226.0932922,273.9900208,291.163269,274.6799927,215.3766327,145.7566071,83.21660614,38.0066185,17.76995277
163,53897,13633,27.60662079,71.03993988,145.2866058,225.5932922,274.2400208,292.083313,274.5533142,215.8566437,145.3332672,82.75328827,37.51661682,17.42995262
164,53898,13634,27.60662079,71.03993988,145.2866058,225.5932922,274.2400208,292.083313,274.5533142,215.8566437,145.3332672,82.75328827,37.51661682,17.42995262
165,53899,13635,27.0699501,69.55995941,143.69664,225.7199554,274.3699646,292.5333252,274.1233215,215.5733032,145.9766083,82.39328766,37.03328705,16.98995399
166,53900,13636,27.0699501,69.55995941,143.69664,225.7199554,274.3699646,292.5333252,274.1233215,215.5733032,145.9766083,82.39328766,37.03328705,16.98995399
167,53901,13637,26.90328407,69.05995941,143.5932617,227.1899567,274.1733093,294.0465698,274.0433044,216.2599487,146.4166107,81.99660492,36.88661575,16.82995224
168,53902,13638,26.95328522,69.25662231,143.8932953,228.2032776,273.7432861,293.9599304,273.3466187,216.8432465,146.4632721,81.88993835,36.88662338,16.80328751
169,53903,13639,26.95328522,69.25662231,143.8932953,228.2032776,273.7432861,293.9599304,273.3466187,216.8432465,146.4632721,81.88993835,36.88662338,16.80328751
170,53904,13640,27.19661903,70.10328674,144.6266327,228.7432709,273.0666199,292.2899475,272.0532837,217.3666534,146.123291,82.0999527,37.03662109,16.87661934
171,53905,13641,27.19661903,70.10328674,144.6266327,228.7432709,273.0666199,292.2899475,272.0532837,217.3666534,146.123291,82.0999527,37.03662109,16.87661934
172,53906,13642,27.78329086,71.41661835,146.5299683,231.1966248,274.5132751,292.8366394,272.8899536,218.8766327,145.3532867,82.33995819,37.60328293,17.19995117
