OID,Id,ORIG_FID,vbdsf1,vbdsf2,vbdsf3,vbdsf4,vbdsf5,vbdsf6,vbdsf7,vbdsf8,vbdsf9,vbdsf10,vbdsf11,vbdsf12
8183,50297,11306,18.77328873,35.97661591,64.33328247,88.17662048,106.9366226,117.3332901,111.7066269,102.049942,74.09661102,43.40995789,23.08661842,14.68662071
8184,50298,11307,18.77328873,35.97661591,64.33328247,88.17662048,106.9366226,117.3332901,111.7066269,102.049942,74.09661102,43.40995789,23.08661842,14.68662071
8185,50299,11308,19.91329002,37.95328522,66.37994385,90.73327637,110.8966141,120.2399368,113.1166153,103.4133072,75.77328491,45.31328964,24.36995506,15.44995213
8186,50300,11309,19.91329002,37.95328522,66.37994385,90.73327637,110.8966141,120.2399368,113.1166153,103.4133072,75.77328491,45.31328964,24.36995506,15.44995213
8187,50301,11310,18.50995064,35.72661591,63.66328812,88.3499527,107.9366226,119.8899384,113.7399673,103.2732773,74.11660767,43.83662033,23.38661766,14.50328541
8188,50302,11311,16.38328552,31.92662239,59.08995056,84.63328552,104.279953,117.0566101,111.7466202,101.2666245,71.11328125,41.29662323,21.53995323,12.81328392
8189,50303,11312,16.38328552,31.92662239,59.08995056,84.63328552,104.279953,117.0566101,111.7466202,101.2666245,71.11328125,41.29662323,21.53995323,12.81328392
8190,50304,11313,13.49661732,26.53328514,52.61328506,79.53662872,99.92996979,111.6166229,107.186615,97.38993835,66.77661133,37.69661331,18.81995201,10.40995407
8191,50305,11314,13.49661732,26.53328514,52.61328506,79.53662872,99.92996979,111.6166229,107.186615,97.38993835,66.77661133,37.69661331,18.81995201,10.40995407
8192,50306,11315,16.77328682,31.48328209,58.08995819,84.5999527,106.526619,115.0599594,108.3099594,97.01329041,67.93328094,40.75994492,21.23661995,12.56995487
8193,50307,11316,16.77328682,31.48328209,58.08995819,84.5999527,106.526619,115.0599594,108.3099594,97.01329041,67.93328094,40.75994492,21.23661995,12.56995487
8194,50308,11317,20.58328629,37.54328537,64.85662842,91.12329865,113.1366196,118.1332932,110.2266312,98.18995667,71.08329773,44.72995758,24.31328774,15.3066206
8195,50309,11318,20.58328629,37.54328537,64.85662842,91.12329865,113.1366196,118.1332932,110.2266312,98.18995667,71.08329773,44.72995758,24.31328774,15.3066206
8196,50310,11319,24.95995331,44.69995499,72.87661743,99.1632843,119.779953,120.8032684,112.9832764,100.9532776,76.23995209,49.59328461,28.05328941,18.60662079
8197,50311,11320,24.95995331,44.69995499,72.87661743,99.1632843,119.779953,120.8032684,112.9832764,100.9532776,76.23995209,49.59328461,28.05328941,18.60662079
8198,50312,11321,22.8499527,41.29662323,66.59328461,92.05327606,111.2532883,111.6766052,106.1832809,96.69661713,73.60328674,46.80662537,26.3499527,17.46328545
8199,50313,11322,22.8499527,41.29662323,66.59328461,92.05327606,111.2532883,111.6766052,106.1832809,96.69661713,73.60328674,46.80662537,26.3499527,17.46328545
8200,50314,11323,19.83995247,35.97328568,58.09661865,83.2166214,102.2199554,103.6699524,99.55993652,91.3132782,69.53329468,42.91995621,23.52995491,15.49661732
8201,50315,11324,19.83995247,35.97328568,58.09661865,83.2166214,102.2199554,103.6699524,99.55993652,91.3132782,69.53329468,42.91995621,23.52995491,15.49661732
8202,50316,11325,15.90661907,28.78328514,47.45329285,72.69994354,92.71327972,96.74328613,93.08662415,84.81995392,64.00328064,37.9432869,19.5599556,12.68328381
8203,50317,11326,20.8099556,36.90328598,57.6799469,80.68994904,98.82328033,103.2632828,98.029953,86.53328705,67.05995178,41.92995453,23.39995384,15.67661953
8204,50318,11327,20.8099556,36.90328598,57.6799469,80.68994904,98.82328033,103.2632828,98.029953,86.53328705,67.05995178,41.92995453,23.39995384,15.67661953
8205,50319,11328,23.79662132,42.20328522,64.87661743,87.23329163,103.5299454,106.7232895,100.5566254,87.78329468,69.84328461,45.3199501,26.04328537,17.56661987
8206,50320,11329,23.79662132,42.20328522,64.87661743,87.23329163,103.5299454,106.7232895,100.5566254,87.78329468,69.84328461,45.3199501,26.04328537,17.56661987
8207,50321,11330,24.83328438,44.62662506,69.04328918,92.33328247,106.7999573,107.1432877,100.6766205,88.53327942,72.36328888,48.12328339,27.49995232,18.35662079
8208,50322,11331,24.83328438,44.62662506,69.04328918,92.33328247,106.7999573,107.1432877,100.6766205,88.53327942,72.36328888,48.12328339,27.49995232,18.35662079
