OID,Id,ORIG_FID,nbdsf1,nbdsf2,nbdsf3,nbdsf4,nbdsf5,nbdsf6,nbdsf7,nbdsf8,nbdsf9,nbdsf10,nbdsf11,nbdsf12
33,53687,13503,6.643286228,18.42661858,37.42328644,68.04662323,87.74329376,94.97663116,83.96328735,65.55329132,39.08662033,19.59995461,8.736619949,3.739953041
34,53688,13504,6.643286228,18.42661858,37.42328644,68.04662323,87.74329376,94.97663116,83.96328735,65.55329132,39.08662033,19.59995461,8.736619949,3.739953041
35,53689,13505,7.466620922,20.4832859,40.5066185,72.55995178,91.29994965,97.71329498,84.74662781,67.48995972,41.48662567,21.16662025,9.593286514,4.419953346
36,53690,13506,7.466620922,20.4832859,40.5066185,72.55995178,91.29994965,97.71329498,84.74662781,67.48995972,41.48662567,21.16662025,9.593286514,4.419953346
37,53691,13507,8.899953842,24.06328583,46.35328293,79.9332962,96.84329224,101.3732834,86.90661621,70.92662048,45.99328613,24.68328667,11.23995399,5.553287029
38,53692,13508,9.663287163,25.59328842,49.27662277,81.75327301,98.49329376,103.9266205,88.58995819,73.34996033,48.7966156,26.89328575,12.26661968,6.256620407
39,53693,13509,9.663287163,25.59328842,49.27662277,81.75327301,98.49329376,103.9266205,88.58995819,73.34996033,48.7966156,26.89328575,12.26661968,6.256620407
40,53694,13510,9.74995327,25.39661789,48.88328934,80.24994659,96.97327423,103.2066269,88.63661194,74.11662292,50.28328323,27.7566185,12.43662071,6.466619015
41,53695,13511,9.74995327,25.39661789,48.88328934,80.24994659,96.97327423,103.2066269,88.63661194,74.11662292,50.28328323,27.7566185,12.43662071,6.466619015
42,53696,13512,9.156620026,23.46995735,45.18329239,75.43994904,92.29328156,99.21995544,87.02661896,73.22994995,50.43994904,27.27328491,11.7599535,6.139953613
43,53697,13513,9.156620026,23.46995735,45.18329239,75.43994904,92.29328156,99.21995544,87.02661896,73.22994995,50.43994904,27.27328491,11.7599535,6.139953613
44,53698,13514,8.796620369,22.3732872,43.43662262,73.46328735,90.62329102,96.80327606,86.36327362,72.07662201,49.96995163,26.75328827,11.38662052,5.989953995
45,53699,13515,8.796620369,22.3732872,43.43662262,73.46328735,90.62329102,96.80327606,86.36327362,72.07662201,49.96995163,26.75328827,11.38662052,5.989953995
46,53700,13516,9.02995491,22.61328316,44.44327927,74.05995178,91.66661835,97.12998199,87.34993744,72.08662415,50.26995468,26.77328682,11.63328648,6.216620445
47,53701,13517,9.02995491,22.61328316,44.44327927,74.05995178,91.66661835,97.12998199,87.34993744,72.08662415,50.26995468,26.77328682,11.63328648,6.216620445
48,53702,13518,9.839953423,24.21662331,48.22328568,77.25661469,95.47661591,100.2166367,90.01328278,73.31995392,51.30994797,27.30994987,12.50995255,6.796620369
49,53703,13519,9.839953423,24.21662331,48.22328568,77.25661469,95.47661591,100.2166367,90.01328278,73.31995392,51.30994797,27.30994987,12.50995255,6.796620369
50,53704,13520,10.82995319,25.52995491,51.63995361,81.18662262,100.5566101,105.2099609,93.78328705,75.30327606,52.93328476,28.31328774,13.44995117,7.49328804
51,53705,13521,10.82995319,25.52995491,51.63995361,81.18662262,100.5566101,105.2099609,93.78328705,75.30327606,52.93328476,28.31328774,13.44995117,7.49328804
52,53706,13522,11.43328571,26.07328606,53.56662369,83.31995392,103.7032928,107.7866211,96.25661469,76.00662231,53.82328415,28.89328766,13.84995365,7.823287487
53,53707,13523,11.60661983,25.87995338,53.95994568,83.66994476,104.9099579,107.9199448,97.38327789,75.43662262,54.02995682,29.0766201,13.72662067,7.799952984
54,53708,13524,11.60661983,25.87995338,53.95994568,83.66994476,104.9099579,107.9199448,97.38327789,75.43662262,54.02995682,29.0766201,13.72662067,7.799952984
55,53709,13525,10.81662083,23.87328529,50.49328995,79.91662598,102.8799591,107.0699539,96.59996033,74.14994049,52.75328827,28.14995384,12.72662067,7.136620045
56,53710,13526,10.81662083,23.87328529,50.49328995,79.91662598,102.8799591,107.0699539,96.59996033,74.14994049,52.75328827,28.14995384,12.72662067,7.136620045
57,53711,13527,10.11328697,22.29328537,47.43662262,76.29662323,100.1299667,105.4799576,95.42993927,72.58663177,51.35995102,27.40995216,11.94661999,6.603287697
58,53712,13528,10.11328697,22.29328537,47.43662262,76.29662323,100.1299667,105.4799576,95.42993927,72.58663177,51.35995102,27.40995216,11.94661999,6.603287697
59,53713,13529,9.523286819,21.12329102,44.69995499,72.78662872,96.70661163,103.1332932,93.92662048,70.69662476,49.83329391,26.86328697,11.35328579,6.186620712
60,53714,13530,9.523286819,21.12329102,44.69995499,72.78662872,96.70661163,103.1332932,93.92662048,70.69662476,49.83329391,26.86328697,11.35328579,6.186620712
61,53715,13531,10.13662148,22.29328537,45.67995453,72.23994446,95.61995697,103.776619,94.15662384,71.10995483,49.76995087,27.32662201,11.85995388,6.546619892
62,53716,13532,10.13662148,22.29328537,45.67995453,72.23994446,95.61995697,103.776619,94.15662384,71.10995483,49.76995087,27.32662201,11.85995388,6.546619892
63,53717,13533,10.95661926,23.91662025,47.48327637,73.39995575,96.07663727,104.1799393,93.94327545,71.26661682,50.14661789,28.20662117,12.55995274,6.983286858
64,53718,13534,10.95661926,23.91662025,47.48327637,73.39995575,96.07663727,104.1799393,93.94327545,71.26661682,50.14661789,28.20662117,12.55995274,6.983286858
65,53719,13535,11.96995258,25.94995499,50.16661453,76.25328827,98.09660339,104.3966141,93.26995087,71.15661621,50.97995758,29.48995399,13.43995476,7.459953785
66,53720,13536,11.96995258,25.94995499,50.16661453,76.25328827,98.09660339,104.3966141,93.26995087,71.15661621,50.97995758,29.48995399,13.43995476,7.459953785
67,53721,13537,12.14328671,26.98995018,51.78662109,77.99329376,100.5499496,106.5832825,95.20662689,72.64994812,52.4666214,30.20661736,13.95661736,7.423287392
68,53722,13538,11.84995461,27.18662071,51.95661926,78.72995758,102.4499435,108.7899551,97.3299408,74.43662262,53.36995316,30.29662323,14.14662075,7.209953308
69,53723,13539,11.84995461,27.18662071,51.95661926,78.72995758,102.4499435,108.7899551,97.3299408,74.43662262,53.36995316,30.29662323,14.14662075,7.209953308
70,53724,13540,11.12661934,26.54661942,50.69994736,78.44662476,103.779953,111.0166168,99.58660126,76.45329285,53.71328354,29.71994972,14.02661991,6.809954166
71,53725,13541,11.12661934,26.54661942,50.69994736,78.44662476,103.779953,111.0166168,99.58660126,76.45329285,53.71328354,29.71994972,14.02661991,6.809954166
72,53739,13542,9.4199543,24.60662079,47.69994736,78.57995605,97.75662231,102.5932846,85.72994995,63.69661713,35.77661896,19.05328941,8.909953117,5.723286629
73,53740,13543,9.4199543,24.60662079,47.69994736,78.57995605,97.75662231,102.5932846,85.72994995,63.69661713,35.77661896,19.05328941,8.909953117,5.723286629
74,53741,13544,8.619954109,23.03328514,46.3599472,77.5799408,94.05995178,98.71994019,84.60663605,61.92327499,34.90995789,18.87661934,8.843287468,5.243287086
75,53742,13545,8.619954109,23.03328514,46.3599472,77.5799408,94.05995178,98.71994019,84.60663605,61.92327499,34.90995789,18.87661934,8.843287468,5.243287086
76,53743,13546,10.11995316,26.11995316,51.15328598,82.45661926,101.2766342,110.1332855,96.61994934,71.44661713,44.97328186,24.88328743,11.58995342,6.583287239
77,53744,13547,10.11995316,26.11995316,51.15328598,82.45661926,101.2766342,110.1332855,96.61994934,71.44661713,44.97328186,24.88328743,11.58995342,6.583287239
78,53745,13548,11.53995228,28.72994995,55.3732872,86.51328278,106.4132919,115.9966049,103.2099609,76.44663239,51.31328201,28.65328598,13.47661877,7.636619568
79,53746,13549,11.53995228,28.72994995,55.3732872,86.51328278,106.4132919,115.9966049,103.2099609,76.44663239,51.31328201,28.65328598,13.47661877,7.636619568
80,53747,13550,12.81328869,30.83328438,59.05328751,89.74994659,109.4599457,116.236618,104.4266205,76.90994263,53.89995575,30.10328484,14.54661846,8.359952927
81,53748,13551,12.81328869,30.83328438,59.05328751,89.74994659,109.4599457,116.236618,104.4266205,76.90994263,53.89995575,30.10328484,14.54661846,8.359952927
82,53749,13552,12.31661892,28.76995277,56.41661835,85.95327759,104.5932846,109.6632767,99.16329956,72.98661804,51.30662918,27.65328979,13.47661877,7.983287334
83,53750,13553,12.31661892,28.76995277,56.41661835,85.95327759,104.5932846,109.6632767,99.16329956,72.98661804,51.30662918,27.65328979,13.47661877,7.983287334
