OID,Id,ORIG_FID,nddsf1,nddsf2,nddsf3,nddsf4,nddsf5,nddsf6,nddsf7,nddsf8,nddsf9,nddsf10,nddsf11,nddsf12
33,53687,13503,7.396619797,17.17995644,29.45662117,40.55995178,45.07995224,41.51328659,37.91661835,34.41994858,28.12328529,20.53328514,9.766619682,4.826619625
34,53688,13504,7.396619797,17.17995644,29.45662117,40.55995178,45.07995224,41.51328659,37.91661835,34.41994858,28.12328529,20.53328514,9.766619682,4.826619625
35,53689,13505,7.126619339,16.45328522,28.24661827,38.64327621,44.23328018,41.13329315,37.93328476,33.82662201,27.8032856,20.14661598,9.449953079,4.699953079
36,53690,13506,7.126619339,16.45328522,28.24661827,38.64327621,44.23328018,41.13329315,37.93328476,33.82662201,27.8032856,20.14661598,9.449953079,4.699953079
37,53691,13507,6.466619968,14.6666193,25.27994919,34.44662094,41.47995758,38.63328171,35.77661514,30.97994995,25.65995598,18.13328743,8.649951935,4.396620274
38,53692,13508,5.993285656,13.44661903,22.96995163,31.96661758,38.24662018,38.17328262,34.63328934,29.39661598,23.74662209,16.62661743,7.959953308,4.093286037
39,53693,13509,5.993285656,13.44661903,22.96995163,31.96661758,38.24662018,38.17328262,34.63328934,29.39661598,23.74662209,16.62661743,7.959953308,4.093286037
40,53694,13510,5.869953632,13.17661953,22.68995285,30.86328316,35.45995331,36.03995514,32.83662033,28.00662041,21.92328644,15.24328423,7.693285942,4.046619415
41,53695,13511,5.869953632,13.17661953,22.68995285,30.86328316,35.45995331,36.03995514,32.83662033,28.00662041,21.92328644,15.24328423,7.693285942,4.046619415
42,53696,13512,6.143286705,13.82995033,24.46661568,31.12995148,33.10662079,32.26661682,30.37328911,26.81661987,20.28328514,13.90995312,7.829953671,4.263286114
43,53697,13513,6.143286705,13.82995033,24.46661568,31.12995148,33.10662079,32.26661682,30.37328911,26.81661987,20.28328514,13.90995312,7.829953671,4.263286114
44,53698,13514,6.303286076,13.91661739,25.18995285,30.36328697,31.70662308,31.8266201,30.09661865,26.44662094,19.47328568,13.26662064,7.903286457,4.409952641
45,53699,13515,6.303286076,13.91661739,25.18995285,30.36328697,31.70662308,31.8266201,30.09661865,26.44662094,19.47328568,13.26662064,7.903286457,4.409952641
46,53700,13516,6.189953327,13.28995323,24.61661911,29.29328728,30.51662445,31.20995522,30.02661896,26.023283,18.86328316,12.70995045,7.699952602,4.316619396
47,53701,13517,6.189953327,13.28995323,24.61661911,29.29328728,30.51662445,31.20995522,30.02661896,26.023283,18.86328316,12.70995045,7.699952602,4.316619396
48,53702,13518,5.836619854,11.95995235,22.74328423,27.93661499,29.54662132,30.39995384,30.16328621,25.56662178,18.45995522,12.23995018,7.139953613,4.016619205
49,53703,13519,5.836619854,11.95995235,22.74328423,27.93661499,29.54662132,30.39995384,30.16328621,25.56662178,18.45995522,12.23995018,7.139953613,4.016619205
50,53704,13520,5.399953365,10.97995281,20.87661934,25.96328735,27.47995186,28.51328468,28.66995239,24.02662086,17.53328514,11.65661812,6.556619644,3.603286028
51,53705,13521,5.399953365,10.97995281,20.87661934,25.96328735,27.47995186,28.51328468,28.66995239,24.02662086,17.53328514,11.65661812,6.556619644,3.603286028
52,53706,13522,5.116620064,10.42328453,19.56995201,24.63661575,25.96328545,27.50662041,27.47328568,23.1466198,16.99328423,11.44661903,6.196619034,3.409952641
53,53707,13523,4.986619473,10.26328754,18.85661888,23.90995407,25.01661873,27.37328529,26.59662247,22.96328545,16.79661751,11.62995434,6.029953957,3.419952631
54,53708,13524,4.986619473,10.26328754,18.85661888,23.90995407,25.01661873,27.37328529,26.59662247,22.96328545,16.79661751,11.62995434,6.029953957,3.419952631
55,53709,13525,5.559953213,11.51995373,21.17328453,26.99995613,27.09995079,27.85995483,26.78328514,23.39995193,17.1866188,12.41995239,6.699953556,3.886619568
56,53710,13526,5.559953213,11.51995373,21.17328453,26.99995613,27.09995079,27.85995483,26.78328514,23.39995193,17.1866188,12.41995239,6.699953556,3.886619568
57,53711,13527,6.059953213,12.52995396,23.24995232,29.72661781,29.5999527,28.98328781,27.38329124,24.12995338,17.82328415,13.03995228,7.219954014,4.263287067
58,53712,13528,6.059953213,12.52995396,23.24995232,29.72661781,29.5999527,28.98328781,27.38329124,24.12995338,17.82328415,13.03995228,7.219954014,4.263287067
59,53713,13529,6.559952736,13.28662014,25.09662056,32.08995438,32.51661682,30.79661942,28.41328812,25.20328712,18.73995209,13.48661995,7.619954109,4.526619911
60,53714,13530,6.559952736,13.28662014,25.09662056,32.08995438,32.51661682,30.79661942,28.41328812,25.20328712,18.73995209,13.48661995,7.619954109,4.526619911
61,53715,13531,6.169953346,12.82328701,24.99995613,32.80328369,34.17328644,31.55328751,28.69995117,25.26661873,19.10328293,13.5299511,7.393286705,4.243286133
62,53716,13532,6.169953346,12.82328701,24.99995613,32.80328369,34.17328644,31.55328751,28.69995117,25.26661873,19.10328293,13.5299511,7.393286705,4.243286133
63,53717,13533,5.62328577,12.17328548,24.23995209,32.69661713,34.52661896,32.17328644,29.15328407,25.48328972,18.99662018,13.30661964,7.056619644,3.869953156
64,53718,13534,5.62328577,12.17328548,24.23995209,32.69661713,34.52661896,32.17328644,29.15328407,25.48328972,18.99662018,13.30661964,7.056619644,3.869953156
65,53719,13535,4.919952869,11.34328556,22.80328369,31.72328758,33.5466156,32.6399498,29.7399559,25.83661652,18.48662186,12.84328556,6.623286247,3.396619082
66,53720,13536,4.919952869,11.34328556,22.80328369,31.72328758,33.5466156,32.6399498,29.7399559,25.83661652,18.48662186,12.84328556,6.623286247,3.396619082
67,53721,13537,4.629952908,10.84661865,21.15995407,30.96661758,32.39328766,31.57328415,29.06995201,24.91328812,17.63661957,12.59328747,6.289953709,3.176619291
68,53722,13538,4.539952278,10.59328651,20.11995506,30.28328705,31.36994743,30.56328583,28.34661675,24.1932869,16.88995361,12.42328453,5.979953289,3.026619673
69,53723,13539,4.539952278,10.59328651,20.11995506,30.28328705,31.36994743,30.56328583,28.34661675,24.1932869,16.88995361,12.42328453,5.979953289,3.026619673
70,53724,13540,4.62328577,10.56661892,19.66662025,29.68662262,30.48995399,29.57662201,27.58661461,23.63328171,16.31995201,12.32995224,5.70661974,2.933285952
71,53725,13541,4.62328577,10.56661892,19.66662025,29.68662262,30.48995399,29.57662201,27.58661461,23.63328171,16.31995201,12.32995224,5.70661974,2.933285952
72,53739,13542,6.433287621,14.526618,25.00662041,34.04328156,34.80661774,30.50328636,27.023283,22.98995399,18.62328529,11.7599535,5.876620293,3.836619616
73,53740,13543,6.433287621,14.526618,25.00662041,34.04328156,34.80661774,30.50328636,27.023283,22.98995399,18.62328529,11.7599535,5.876620293,3.836619616
74,53741,13544,7.109953403,15.486619,26.12995338,34.56662369,35.76661682,30.76995087,26.84328461,23.12328529,18.9366169,11.78661919,5.916620255,4.059952736
75,53742,13545,7.109953403,15.486619,26.12995338,34.56662369,35.76661682,30.76995087,26.84328461,23.12328529,18.9366169,11.78661919,5.916620255,4.059952736
76,53743,13546,5.783287048,12.49328613,21.91329002,29.78328705,33.40328217,29.43662262,26.04995537,22.58328629,18.15995026,12.14995193,6.136619568,3.726619482
77,53744,13547,5.783287048,12.49328613,21.91329002,29.78328705,33.40328217,29.43662262,26.04995537,22.58328629,18.15995026,12.14995193,6.136619568,3.726619482
78,53745,13548,4.943286419,10.47995281,19.13328743,26.5532856,31.73995209,28.83661842,25.49995613,22.28328896,17.46661758,11.97995186,6.066619873,3.476619244
79,53746,13549,4.943286419,10.47995281,19.13328743,26.5532856,31.73995209,28.83661842,25.49995613,22.28328896,17.46661758,11.97995186,6.066619873,3.476619244
80,53747,13550,4.543285847,9.43995285,17.8266201,24.83328438,30.73328209,29.04328346,25.15995026,22.21995163,16.81661797,11.27661705,5.716619968,3.273286104
81,53748,13551,4.543285847,9.43995285,17.8266201,24.83328438,30.73328209,29.04328346,25.15995026,22.21995163,16.81661797,11.27661705,5.716619968,3.273286104
82,53749,13552,5.126620293,10.45328331,19.82661819,27.36661339,33.01661682,32.23661423,26.58662033,22.57995033,17.07661819,11.74328613,6.033287048,3.526619434
83,53750,13553,5.126620293,10.45328331,19.82661819,27.36661339,33.01661682,32.23661423,26.58662033,22.57995033,17.07661819,11.74328613,6.033287048,3.526619434
84,53753,13554,7.049952984,14.63995266,26.71995354,33.05327988,36.78661346,34.4666214,27.18328667,22.69662285,17.17661667,12.2099514,6.81662035,4.406619549
85,53754,13555,7.129953384,14.52328587,26.90995026,34.00328445,37.0466156,35.28995132,28.20995331,22.94995117,17.72661972,12.986619,7.059952736,4.516619205
86,53755,13556,7.129953384,14.52328587,26.90995026,34.00328445,37.0466156,35.28995132,28.20995331,22.94995117,17.72661972,12.986619,7.059952736,4.516619205
87,53756,13557,7.00661993,13.97661972,26.58662033,34.40327835,36.23661423,35.30328369,28.7399559,23.26995087,18.59328461,13.04995251,7.036619186,4.50661993
88,53816,13558,3.786619425,7.979952812,13.15661907,19.46661758,23.20995331,26.69995308,24.66995239,21.04995346,15.41328526,9.14662075,4.50661993,2.513286591
89,53817,13559,3.786619425,7.979952812,13.15661907,19.46661758,23.20995331,26.69995308,24.66995239,21.04995346,15.41328526,9.14662075,4.50661993,2.513286591
90,53818,13560,3.766619205,8.079954147,13.26661873,19.50995445,23.2499485,26.3499527,24.66328239,21.2566185,15.31328487,9.253285408,4.4632864,2.429953098
91,53824,13561,3.926619291,8.633286476,14.74661922,20.57995415,23.76328659,27.22662354,26.04995537,22.25328636,16.07662201,10.10328674,4.799952507,2.556619406
92,53825,13562,3.926619291,8.633286476,14.74661922,20.57995415,23.76328659,27.22662354,26.04995537,22.25328636,16.07662201,10.10328674,4.799952507,2.556619406
