FID,Id,ORIG_FID,k26_100_1,k26_100_2,k26_100_3,k26_100_4,k26_100_5,k26_100_6,k26_100_7,k26_100_8,k26_100_9,k26_100_10,k26_100_11,k26_100_12
0,54006,13721,7.449339867,24.56879997,62.30149841,100.4319992,115.362999,104.6460037,90.74890137,67.542099,50.770401,28.97229958,9.948579788,3.816760063
1,54007,13722,7.598090172,25.19919968,63.27000046,100.5479965,115.137001,104.9560013,90.40619659,66.7661972,50.50880051,28.9083004,9.890029907,3.822809935
2,54012,13723,8.332920074,27.79809952,68.54730225,104.3799973,123.2310028,119.8079987,99.45149994,72.38500214,50.90380096,29.61689949,10.23690033,3.984889984
3,54013,13724,8.549900055,28.22170067,69.22540283,104.637001,124.0220032,122.125,100.5149994,73.77189636,50.75849915,29.94219971,10.43010044,4.120560169
4,54014,13725,8.798760414,28.56419945,69.41970062,103.8330002,124.2679977,123.802002,100.6679993,74.32779694,50.78079987,30.42930031,10.64299965,4.27049017
5,54015,13726,9.027119637,29.05750084,70.09149933,103.4789963,124.3880005,125.2080002,101.1029968,74.47740173,50.45529938,30.6928997,10.82320023,4.392660141
6,54016,13727,9.115449905,29.33399963,70.16100311,103.8880005,124.2409973,126.4039993,101.177002,74.40619659,49.7405014,30.70159912,10.90400028,4.499010086
7,54017,13728,9.269200325,29.62140083,70.2589035,104.7149963,122.9789963,125.5279999,99.43489838,73.66929626,48.93740082,30.65679932,10.95600033,4.584529877
8,54018,13729,9.686619759,30.24510002,70.90200043,104.1579971,119.7259979,121.4820023,95.75469971,71.80570221,47.27410126,30.80660057,11.18809986,4.817940235
9,54019,13730,9.972060204,30.70549965,71.09899902,103.7860031,116.1989975,117.4140015,92.07260132,70.92919922,46.06790161,30.70199966,11.38119984,4.956580162
10,54020,13731,10.01280022,30.76980019,71.28549957,104.5970001,113.4609985,114.2180023,90.36869812,70.25659943,44.25719833,30.32430077,11.43470001,4.990749836
11,54021,13732,9.977519989,30.83860016,71.61979675,105.5319977,111.8550034,114.0370026,90.50849915,70.74320221,43.60800171,30.1298008,11.43400002,4.972509861
12,54022,13733,9.973670006,30.99279976,71.71510315,105.3919983,109.4759979,115.4459991,91.21279907,72.09960175,43.94400024,30.17379951,11.44349957,4.986499786
13,54023,13734,9.962880135,31.12080002,71.69239807,105.1940002,107.3399963,116.4459991,91.87750244,73.03649902,44.43090057,30.22839928,11.46619987,5.012519836
