FID,Id,ORIG_FID,k26_30_1,k26_30_2,k26_30_3,k26_30_4,k26_30_5,k26_30_6,k26_30_7,k26_30_8,k26_30_9,k26_30_10,k26_30_11,k26_30_12
0,54006,13721,7.409629822,27.30960083,69.23619843,110.3970032,121.2229996,104.9960022,84.35230255,67.1053009,52.64210129,27.92939949,10.09080029,3.851419926
1,54007,13722,7.541510105,27.96969986,70.85359955,111.1159973,121.6269989,105.3590012,84.45760345,66.99649811,52.34170151,27.8586998,10.08780003,3.870990038
2,54012,13723,8.250349998,29.60309982,74.33529663,112.1679993,128.4720001,122.375,96.0632019,69.57209778,52.75389862,28.44639969,9.9625597,4.072319984
3,54013,13724,8.417269707,29.82729912,74.36720276,111.4629974,129.2420044,125.5599976,98.76670074,70.18240356,53.03710175,28.66040039,10.2524004,4.171070099
4,54014,13725,8.593819618,30.15069962,74.52600098,110.2310028,129.8630066,127.9830017,100.7070007,70.4733963,53.39830017,29.0333004,10.62989998,4.277150154
5,54015,13726,8.876999855,31.01919937,75.48940277,110.5199966,130.8880005,128.5679932,101.9020004,70.58080292,53.29669952,29.32049942,10.9836998,4.394599915
6,54016,13727,9.023329735,31.4314003,75.53209686,111.3209991,131.2579956,128.7339935,103.3990021,70.85510254,53.04990005,29.33539963,11.22770023,4.457399845
7,54017,13728,9.194689751,31.73320007,75.96970367,112.6520004,130.5930023,127,103.2659988,70.59210205,52.45640182,29.09359932,11.41870022,4.530900002
8,54018,13729,9.595540047,32.12730026,76.62439728,112.7429962,127.9209976,122.5329971,100.8610001,68.73220062,50.90850067,28.89410019,11.75660038,4.763339996
9,54019,13730,9.877699852,32.36510086,77.01069641,112.4599991,125.0100021,118.7490005,98.62090302,67.1207962,49.72299957,28.5496006,11.97399998,4.92317009
10,54020,13731,9.970049858,32.43370056,77.18499756,112.4039993,122.7779999,116.3769989,97.74539948,65.67500305,48.10179901,27.85779953,12.03680038,4.97096014
11,54021,13732,9.951860428,32.41220093,77.31439972,112.8030014,122.1989975,116.7939987,98.04769897,65.97260284,47.6006012,27.48010063,12.02999973,4.966010094
12,54022,13733,9.985600471,32.40520096,77.56430054,113.3619995,121.3580017,117.5770035,99.00430298,67.22360229,48.04899979,27.44190025,12.11530018,4.979390144
13,54023,13734,10.00819969,32.25249863,77.4048996,113.5029984,120.1460037,118.0350037,99.65869904,68.21929932,48.47480011,27.4137001,12.19330025,4.997479916
14,54024,13735,10.02089977,32.09970093,77.23739624,113.6719971,119.3649979,118.4509964,99.95059967,68.79119873,48.71419907,27.4484005,12.2645998,5.016109943
15,54025,13736,9.877920151,31.78980064,77.13600159,114.2160034,120.6159973,120.9489975,101.6449966,69.93029785,49.09640121,27.6385994,12.21529961,4.949140072
16,54026,13737,9.521960258,30.77370071,75.86049652,115.1009979,123.7360001,126.1729965,104.8150024,72.09130096,49.83610153,27.89570045,12.07629967,4.803329945
17,54027,13738,8.913240433,28.87039948,72.66770172,113.8690033,124.1740036,130.2980042,108.8059998,75.38610077,51.18030167,28.13800049,11.83129978,4.531229973
18,54028,13739,8.414830208,27.32500076,70.03620148,112.6750031,125.5469971,135.6260071,113.6940002,79.14630127,52.71149826,28.07410049,11.46360016,4.253530025
19,54029,13740,8.277310371,26.68449974,68.7201004,111.6060028,127.2300034,139.6320038,118.4499969,82.55269623,54.70009995,28.66790009,11.52649975,4.233749866
20,54030,13741,8.213179588,26.35499954,68.15740204,112.3420029,129.6109924,142.2879944,121.4339981,85.0490036,56.28720093,29.23530006,11.69040012,4.268740177
21,54031,13742,8.094420433,25.97039986,67.25389862,113.0540009,131.5659943,143.9089966,122.3499985,85.46240234,56.51660156,29.22249985,11.80080032,4.283800125
22,54032,13743,7.894330025,25.35980034,65.92500305,112.6350021,134.1459961,146.9920044,123.2399979,85.6006012,56.41839981,28.84399986,11.65369987,4.247819901
23,54033,13744,7.812369823,25.12140083,65.31220245,112.4599991,137.4409943,150.1620026,124.2399979,85.98429871,56.40019989,28.66640091,11.5394001,4.250810146
24,54034,13745,7.87319994,25.31299973,65.56340027,113.2139969,140.9579926,153.1150055,124.9570007,86.58779907,56.24240112,28.7269001,11.52779961,4.300980091
25,54035,13746,8.097640038,25.99069977,66.94879913,115.288002,144.052002,153.970993,124.7929993,86.41609955,55.75659943,29.10149956,11.73550034,4.42222023
26,54036,13747,8.325480461,26.57999992,68.32830048,117.5270004,146.7220001,155.2559967,125.0490036,85.52950287,54.70840073,29.01129913,11.82979965,4.500060081
27,54037,13748,8.491769791,27.08790016,69.42030334,119.4319992,150.2559967,159.9170074,127.5699997,86.59529877,55.19290161,29.44490051,11.9059,4.559440136
28,54038,13749,8.65997982,27.72249985,70.88829803,121.9489975,155.1620026,168.1840057,134.1239929,90.15809631,57.05659866,30.25499916,11.97259998,4.626289845
29,54039,13750,8.861100197,28.54109955,72.41860199,124.5960007,160.4600067,179.8470001,144.3269958,96.92590332,60.45100021,31.58480072,12.1239996,4.715149879
30,54040,13751,9.334759712,29.87039948,74.98829651,127.4300003,162.5010071,181.6889954,145.473999,97.48739624,59.25419998,31.17060089,12.25209999,4.90651989
31,54041,13752,10.06219959,31.77739906,78.79810333,131.3569946,164.0339966,178.4790039,142.2579956,94.82099915,56.41770172,30.38610077,12.56060028,5.206389904
32,54042,13753,10.75749969,33.58050156,82.67680359,135.3760071,165.4640045,177.0070038,141.996994,95.09140015,55.59880066,30.01689911,12.90170002,5.486320019
33,54043,13754,11.03859997,34.27299881,84.44950104,137.3480072,164.2140045,173.8869934,140.6419983,94.41459656,53.87129974,28.84280014,12.83530045,5.585909843
34,54044,13755,11.13189983,34.48239899,85.1740036,138.8880005,162.4230042,170.1390076,138.2669983,92.9457016,51.99449921,27.69109917,12.66160011,5.600230217
