FID,Id,ORIG_FID,k26_70_1,k26_70_2,k26_70_3,k26_70_4,k26_70_5,k26_70_6,k26_70_7,k26_70_8,k26_70_9,k26_70_10,k26_70_11,k26_70_12
0,54006,13721,7.242569923,25.76429939,63.80820084,104.4169998,118.8069992,108.5810013,88.1785965,68.37989807,51.53960037,28.33679962,10.04749966,3.820640087
1,54007,13722,7.370090008,26.44070053,65.18309784,106.0049973,119.4889984,108.6460037,87.79920197,67.87090302,51.24900055,28.10860062,10.01019955,3.818710089
2,54012,13723,8.209609985,29.07080078,70.25029755,109.8840027,128.2640076,120.0719986,95.94280243,70.35769653,51.46340179,28.20149994,10.2173996,3.96216011
3,54013,13724,8.413029671,29.40920067,70.4937973,108.8379974,129.5659943,122.802002,97.92350006,71.44280243,51.07249832,28.50320053,10.34529972,4.070449829
4,54014,13725,8.619159698,29.79529953,70.3993988,107.6419983,130.2599945,125.1800003,99.86599731,72.5,50.59080124,28.89019966,10.55920029,4.201859951
5,54015,13726,8.836580276,30.38330078,71.040802,107.6839981,130.6999969,126.1470032,101.8499985,73.55529785,50.19380188,29.07010078,10.78730011,4.310500145
6,54016,13727,8.912229538,30.47509956,71.50659943,108.2529984,131.0160065,126.3209991,103.7480011,74.28820038,49.6955986,28.86050034,10.86289978,4.372389793
7,54017,13728,9.056099892,30.69190025,72.43070221,109.1269989,130.4539948,124.3820038,103.7809982,74.09909821,49.01919937,28.55209923,10.87170029,4.441219807
8,54018,13729,9.455180168,31.25939941,73.48500061,108.4660034,126.9869995,120.3499985,101.0849991,72.1969986,47.60990143,28.15460014,11.18770027,4.692299843
9,54019,13730,9.742970467,31.55010033,74.13110352,107.3830032,123.9589996,116.4769974,98.68710327,70.62000275,46.49100113,27.77879906,11.33670044,4.873620033
10,54020,13731,9.816340446,31.38940048,73.88809967,107.0370026,121.1169968,113.5270004,97.77909851,69.30989838,45.03549957,26.92420006,11.2883997,4.926189899
11,54021,13732,9.766659737,31.16559982,73.55259705,107.6060028,119.9779968,113.2170029,98.47029877,69.58750153,44.93759918,26.44149971,11.22130013,4.917280197
12,54022,13733,9.782500267,31.28809929,73.90879822,107.9339981,119.1299973,113.4680023,99.20680237,70.62059784,45.39870071,26.55190086,11.30220032,4.927820206
13,54023,13734,9.804149628,31.42379951,74.19650269,108.0770035,118.3779984,113.5130005,99.61229706,71.35620117,45.72499847,26.80450058,11.39890003,4.940040112
