FID,Id,ORIG_FID,k26_50_1,k26_50_2,k26_50_3,k26_50_4,k26_50_5,k26_50_6,k26_50_7,k26_50_8,k26_50_9,k26_50_10,k26_50_11,k26_50_12
0,54006,13721,7.37925005,26.12269974,64.72039795,110.6920013,117.5709991,105.560997,85.05000305,67.91649628,50.26060104,28.98830032,9.938890457,3.983299971
1,54007,13722,7.51789999,26.94260025,66.03649902,111.7979965,117.5459976,105.0699997,84.3812027,67.20680237,49.90370178,28.90449905,9.927000046,4.040299892
2,54012,13723,8.144590378,29.86680031,70.16120148,115.3590012,127.2050018,121.1380005,95.53630066,71.30249786,51.15660095,28.58699989,10.22990036,4.288320065
3,54013,13724,8.376259804,30.23880005,70.70510101,115.1809998,128.9340057,124.2460022,98.52130127,72.09059906,50.95349884,28.76910019,10.46809959,4.414869785
4,54014,13725,8.61166954,30.60269928,71.15609741,114.3949966,130.0189972,126.7080002,101.0250015,72.66739655,50.63399887,29.1121006,10.73960018,4.557179928
5,54015,13726,8.890330315,31.27289963,72.48419952,114.6380005,130.6170044,127.5770035,102.552002,73.46890259,50.3830986,29.34090042,11.00370026,4.686009884
6,54016,13727,9.030409813,31.49020004,73.15809631,115.0569992,130.7669983,127.6839981,103.6989975,74.02290344,49.89070129,29.24530029,11.08069992,4.772769928
7,54017,13728,9.174360275,31.78389931,73.94789886,116.0009995,130.2030029,126.3570023,102.8580017,73.73709869,49.4197998,28.98520088,11.10200024,4.87432003
8,54018,13729,9.554730415,32.40039825,74.70030212,115.8239975,127.1900024,123.5709991,99.52130127,72.23090363,48.17630005,28.80089951,11.3732996,5.142590046
9,54019,13730,9.850359917,32.87440109,74.97650146,114.9100037,124.2799988,120.6780014,96.6140976,70.64969635,47.30189896,28.68709946,11.58850002,5.330989838
10,54020,13731,9.933289528,32.8993988,74.78749847,114.6650009,122.4720001,118.9599991,95.15720367,69.58560181,46.04079819,28.25090027,11.60599995,5.392710209
11,54021,13732,9.898530006,32.80849838,74.93669891,115.2610016,121.7730026,119.2399979,95.48709869,69.91519928,46.0326004,27.98699951,11.57629967,5.39109993
12,54022,13733,9.916259766,32.90399933,74.93489838,115.6350021,120.7870026,120.2190018,96.38059998,70.65989685,46.61249924,28.21710014,11.68179989,5.391789913
13,54023,13734,9.918600082,32.9333992,74.71219635,115.6500015,119.8799973,120.7829971,96.76460266,71.20259857,47.14020157,28.51119995,11.78919983,5.386680126
14,54024,13735,9.924409866,32.9659996,74.76670074,115.8949966,119.7229996,121.0910034,96.83509827,71.61360168,47.54650116,28.8029995,11.90380001,5.387710094
15,54025,13736,9.833439827,32.64580154,74.88829803,116.5080032,121.5329971,122.7480011,99.04699707,73.14569855,48.14239883,29.04940033,11.96399975,5.310820103
16,54026,13737,9.482560158,31.54610062,73.81150055,116.6090012,125.4410019,126.6389999,102.9779968,75.81759644,49.22269821,29.2602005,11.85910034,5.151669979
17,54027,13738,8.825719833,29.57789993,70.73609924,113.9639969,126.5889969,129.5200043,106.7149963,79.52320099,51.00040054,29.13769913,11.46990013,4.864049911
18,54028,13739,8.295909882,28.01589966,68.4713974,112.5839996,128.7339935,134.1649933,111.6409988,83.13729858,52.94189835,28.83259964,11.06429958,4.614769936
19,54029,13740,8.200160027,27.38299942,67.20249939,111.2030029,131.3130035,138.7590027,115.8840027,86.23169708,55.05789948,29.11120033,11.19369984,4.592319965
20,54030,13741,8.19219017,27.04680061,66.80879974,111.8030014,135.1130066,142.5099945,118.8450012,88.31770325,56.86360168,29.58620071,11.42259979,4.600649834
21,54031,13742,8.074119568,26.60880089,66.17140198,112.3730011,138.4429932,144.2579956,119.3259964,88.49169922,57.52529907,29.63019943,11.55970001,4.564449787
22,54032,13743,7.890270233,26.05649948,65.05789948,111.512001,140.6950073,146.5330048,120.637001,88.52880096,57.79489899,29.15909958,11.36559963,4.469769955
23,54033,13744,7.832079887,25.8083992,64.58499908,111.1330032,143.1049957,149.3739929,122.7649994,88.60420227,57.93500137,28.87150002,11.26449966,4.427539825
24,54034,13745,7.900479794,25.93899918,64.98760223,111.6060028,146.1080017,152.2400055,125.012001,88.54190063,57.93000031,28.79299927,11.31200027,4.453199863
25,54035,13746,8.129739761,26.58390045,66.6187973,113.5759964,149.7409973,153.6190033,125.6869965,87.68609619,57.23609924,28.94219971,11.56980038,4.581950188
26,54036,13747,8.360819817,27.31150055,68.34079742,115.7570038,153.4900055,155.1459961,126.3960037,86.6875,55.90119934,28.77510071,11.66880035,4.662580013
27,54037,13748,8.519669533,27.87260056,69.71019745,117.3339996,157.298996,159.378006,129.5140076,87.60820007,56.22909927,29.07010078,11.78289986,4.745259762
28,54038,13749,8.673870087,28.57500076,71.04589844,118.8450012,161.9869995,166.404007,135.8090057,90.70639801,57.81990051,29.76499939,11.80179977,4.808579922
29,54039,13750,8.861709595,29.37739944,72.53890228,120.8349991,167.4349976,177.227005,146.3869934,96.61669922,61.01589966,30.92060089,11.96580029,4.900680065
30,54040,13751,9.244480133,30.58609962,74.72170258,123.151001,169.6300049,178.9920044,148.1320038,96.67549896,59.47499847,30.29190063,12.09430027,5.07765007
31,54041,13752,9.858449936,32.45059967,78.20909882,126.5699997,171.2299957,176.0169983,145.5769958,93.74060059,56.21879959,29.24510002,12.40750027,5.365709782
32,54042,13753,10.48490047,34.40940094,81.81919861,130.2879944,172.9799957,174.4019928,145.6620026,93.79660034,55.2826004,28.59519958,12.75720024,5.632150173
33,54043,13754,10.73250008,35.30260086,83.63330078,132.4720001,171.3190002,171.5549927,144.3840027,93.07830048,53.55979919,27.18549919,12.65559959,5.685130119
34,54044,13755,10.79209995,35.66880035,84.625,134.3359985,168.6999969,168.276001,142.0619965,91.61250305,51.61959839,25.77160072,12.40880013,5.648029804
35,54045,13756,10.82820034,35.87950134,85.70040131,137.1779938,166.8840027,166.201004,140.2610016,90.53089905,50.69639969,24.91040039,12.21759987,5.605750084
36,54046,13757,10.84360027,35.6719017,85.38749695,136.4140015,164.9680023,163.3769989,137.6499939,89.52469635,50.6935997,24.85330009,12.12119961,5.591469765
37,54047,13758,10.6960001,35.08449936,83.71649933,134.2180023,162.3240051,160.5800018,135.3150024,88.45580292,50.38510132,24.71960068,11.95800018,5.515230179
38,54048,13759,10.71490002,35.06079865,83.39779663,133.8959961,161.6569977,158.4389954,133.7480011,88.32430267,50.59109879,25.09959984,12.02770042,5.568349838
39,54049,13760,10.9090004,35.59759903,84.47660065,136.128006,163.3809967,158.2649994,134.3919983,89.75109863,52.02019882,25.9890995,12.26500034,5.693970203
40,54050,13761,11.02610016,35.83869934,84.5707016,135.5119934,161.9640045,158.1549988,135.5010071,91.58840179,53.66699982,26.88310051,12.44890022,5.796999931
41,54051,13762,11.12709999,35.96210098,84.60030365,134.2140045,159.5249939,158.2449951,137.7920074,94.29319763,55.72520065,27.98550034,12.68459988,5.880819798
42,54052,13763,11.25720024,36.02130127,84.97499847,133.2299957,158.1239929,159.2579956,142.1869965,98.47689819,58.4632988,29.29220009,12.96179962,5.940340042
43,54053,13764,11.34290028,35.90909958,85.10310364,132.1900024,157.9640045,160.798996,146.8860016,102.637001,61.39580154,30.66189957,13.2198,5.969850063
44,54054,13765,11.47140026,35.87799835,85.33540344,130.9920044,159.0010071,164.2980042,153.0090027,107.8310013,64.84290314,32.20009995,13.56879997,6.050039768
45,54055,13766,11.49190044,35.86470032,85.06960297,130.2559967,159.9530029,167.8829956,158.9219971,112.9229965,68.05570221,33.75049973,13.75049973,6.090489864
46,54056,13767,11.48200035,35.7969017,84.46600342,129.673996,161.5659943,172.4060059,166.2259979,118.7990036,71.64810181,35.09980011,13.88070011,6.135849953
47,54057,13768,11.6402998,36.33150101,85.59729767,131.3710022,165.1049957,177.5039978,172.8670044,124.0650024,75.09999847,36.31389999,14.09029961,6.201910019
48,54058,13769,11.81709957,36.9905014,87.32369995,134.0899963,169.470993,183.0399933,178.5690002,128.4920044,78.07540131,37.19879913,14.20339966,6.242380142
49,54059,13770,11.96189976,37.44739914,88.76789856,136.9429932,173.7539978,188.3600006,182.7669983,131.522995,80.49909973,37.84619904,14.22379971,6.261449814
50,54060,13771,12.07890034,37.80690002,89.68399811,139.3760071,176.1710052,192.0500031,184.9380035,132.6179962,81.61669922,38.05920029,14.21490002,6.280360222
51,54061,13772,12.16189957,38.18569946,90.540802,141.529007,178.3500061,195.5429993,187.2599945,134.3329926,82.42379761,38.10340118,14.13910007,6.303040028
52,54062,13773,12.18939972,38.43519974,91.09780121,142.8849945,179.9649963,198.5809937,189.2949982,135.8639984,82.93489838,37.97790146,14.00059986,6.302330017
53,54063,13774,12.1885004,38.72930145,91.81809998,143.6940002,181.1179962,201.3150024,190.4620056,136.7250061,83.01989746,37.63619995,13.82380009,6.310450077
54,54064,13775,12.20580006,38.95819855,92.37870026,144.3329926,181.9989929,203.4550018,190.9589996,137.371994,82.77929688,37.17670059,13.58129978,6.26816988
55,54065,13776,12.25749969,39.19179916,92.91100311,145.1199951,183.5160065,205.7920074,191.8890076,138.3090057,82.67980194,36.92179871,13.41469955,6.242869854
56,54066,13777,12.28610039,39.17760086,92.87349701,145.1000061,184.4459991,206.8450012,191.9900055,138.1660004,82.30439758,36.69049835,13.33390045,6.234059811
57,54067,13778,12.41800022,39.62340164,93.64700317,145.5330048,184.9279938,207.3110046,192.2489929,137.8399963,82.1384964,36.55450058,13.40159988,6.319849968
58,54068,13779,12.54969978,40.18220139,94.55580139,145.8690033,184.9340057,207.6199951,192.1620026,137.5630035,81.80999756,36.28540039,13.48770046,6.42441988
59,54069,13780,12.6480999,40.71559906,95.3585968,146.0079956,184.5970001,208.1130066,191.7389984,137.2899933,81.12380219,35.87559891,13.53909969,6.508810043
60,54070,13781,12.6967001,41.04389954,95.8839035,146.8280029,184.9400024,208.9850006,191.4900055,136.8170013,79.89170074,35.17589951,13.32460022,6.4271698
61,54071,13782,12.73600006,41.0970993,95.85690308,147.0939941,184.4290009,208.022995,190.3690033,135.6360016,78.48529816,34.59159851,13.31729984,6.446310043
