FID,Id,ORIG_FID,k26_90_1,k26_90_2,k26_90_3,k26_90_4,k26_90_5,k26_90_6,k26_90_7,k26_90_8,k26_90_9,k26_90_10,k26_90_11,k26_90_12
0,54006,13721,7.27755022,25.87339973,66.30169678,109.2610016,116.6589966,106.4160004,88.79260254,67.79149628,52.68439865,28.05330086,10.00930023,3.826129913
1,54007,13722,7.421249866,26.42690086,67.71759796,109.8669968,116.5049973,107.0879974,88.16239929,67.5318985,52.52259827,27.9890995,9.896530151,3.844660044
2,54012,13723,8.104929924,28.62750053,71.56390381,111.9629974,123.6849976,124.5459976,97.10549927,71.12339783,54.00310135,28.56520081,10.1505003,4.045629978
3,54013,13724,8.29916954,28.9470005,71.37680054,110.7860031,124.9509964,127.7360001,99.42620087,72.18379974,53.93420029,28.72229958,10.38879967,4.191730022
4,54014,13725,8.436719894,29.21229935,71.28019714,109.0849991,125.7050018,129.7480011,101.2939987,73.17340088,53.84939957,29.0060997,10.65100002,4.342830181
5,54015,13726,8.64741993,29.72459984,72.09069824,109.0299988,126.1240005,130.529007,102.7649994,73.56310272,53.36759949,29.1487999,10.88010025,4.482540131
6,54016,13727,8.715330124,29.8288002,72.40619659,109.4629974,126.487999,131.1829987,103.9179993,73.60800171,52.69350052,29.03009987,11.01259995,4.579179764
7,54017,13728,8.813209534,30.04080009,72.85220337,110.0820007,125.9970016,129.8249969,103.4280014,72.80519867,52.38560104,28.76399994,11.10999966,4.687689781
8,54018,13729,9.181969643,30.43230057,73.13179779,109.1740036,123.7429962,126.3730011,100.3669968,71.05560303,51.52920151,28.32329941,11.48729992,4.978559971
9,54019,13730,9.475410461,30.73699951,73.1785965,108.0559998,121.3410034,122.8209991,97.57039642,69.7928009,51.09669876,27.87199974,11.73700047,5.200880051
10,54020,13731,9.575670242,30.49449921,72.91100311,106.6809998,119.2750015,120.8280029,96.08769989,68.69709778,49.93249893,27.08860016,11.71109962,5.286990166
11,54021,13732,9.571040154,30.24790001,72.65380096,106.2279968,118.5719986,120.939003,95.9285965,68.84130096,49.71089935,26.72839928,11.62489986,5.292319775
12,54022,13733,9.615180016,30.30850029,73.14679718,106.9140015,118.2050018,121.3420029,96.1128006,69.78919983,50.17710114,26.91020012,11.74450016,5.341529846
13,54023,13734,9.616459846,30.37070084,73.36329651,107.4710007,117.6900024,121.1220016,96.02890015,70.55380249,50.50270081,27.17819977,11.8526001,5.381390095
14,54024,13735,9.582110405,30.45120049,73.28800201,108.0439987,117.310997,120.3479996,96.01010132,71.00749969,50.72029877,27.40589905,11.92689991,5.393410206
15,54025,13736,9.393980026,30.21529961,72.91290283,108.802002,118.1949997,121.1449966,97.66040039,71.94509888,51.40039825,27.60210037,11.89439964,5.304069996
16,54026,13737,9.03689003,29.46680069,71.6257019,110.0569992,121.2080002,124.3519974,100.7699966,73.85169983,52.32590103,27.94009972,11.74580002,5.147749901
17,54027,13738,8.50387001,28.00600052,68.94290161,109.3539963,122.2580032,126.1520004,105.3199997,77.23120117,53.7364006,28.16930008,11.32759953,4.892789841
18,54028,13739,8.058050156,26.74640083,66.42510223,108.9840012,124.0360031,129.529007,110.2419968,80.97609711,54.96929932,28.06620026,10.82520008,4.613480091
19,54029,13740,7.950240135,26.03380013,64.77320099,109.151001,125.177002,132.6880035,113.6230011,84.53890228,56.6867981,28.42720032,10.8039999,4.572040081
20,54030,13741,7.941060066,25.75390053,64.04019928,110.8069992,127.4039993,135.1199951,115.2600021,86.83580017,58.20619965,28.83449936,10.94270039,4.577429771
21,54031,13742,7.893000126,25.49729919,63.37530136,112.1399994,129.2160034,136.2830048,114.9329987,87.43599701,58.60279846,28.86050034,11.00249958,4.558139801
22,54032,13743,7.734399796,24.98570061,62.29100037,111.7789993,131.003006,138.871994,115.7009964,88.01719666,58.4864006,28.59020042,10.77600002,4.462580204
23,54033,13744,7.661650181,24.74760056,61.54880142,111.6819992,133.3829956,142.0769958,117.3219986,88.78140259,58.52009964,28.53520012,10.62720013,4.405670166
24,54034,13745,7.712259769,24.98509979,61.70539856,112.4589996,136.4450073,145.1199951,118.8939972,89.40859985,58.46340179,28.71899986,10.6225996,4.420899868
25,54035,13746,7.944499969,25.81480026,63.26810074,114.9329987,140.1690063,145.9889984,118.8410034,88.91320038,57.76879883,29.11199951,10.8586998,4.545050144
