FID,Id,ORIG_FID,k26_40_1,k26_40_2,k26_40_3,k26_40_4,k26_40_5,k26_40_6,k26_40_7,k26_40_8,k26_40_9,k26_40_10,k26_40_11,k26_40_12
0,54006,13721,6.917759895,24.42950058,63.73500061,105.137001,116.6320038,107.6200027,89.22910309,67.1780014,52.45690155,29.32659912,10.0965004,3.892839909
1,54007,13722,7.052869797,25.07320023,65.1934967,105.8280029,116.9980011,107.7320023,89.24739838,67.02929688,52.27510071,28.99410057,10.00440025,3.910279989
2,54012,13723,7.765639782,28.02370071,70.23539734,109.3730011,126.5370026,123.810997,99.26159668,72.63680267,53.41080093,29.03829956,9.959600449,4.200660229
3,54013,13724,7.952370167,28.48119926,70.62270355,109.776001,128.4940033,126.1100006,102.0299988,73.52459717,53.20149994,29.12949944,10.11209965,4.31291008
4,54014,13725,8.144809723,28.90200043,71.17250061,109.7990036,129.4179993,127.5559998,104.0970001,74.25060272,52.90359879,29.45140076,10.35709953,4.426959991
5,54015,13726,8.406849861,29.70159912,72.21530151,110.2600021,129.651001,128.2019958,105.9990005,74.6309967,52.6487999,29.69379997,10.65190029,4.559790134
6,54016,13727,8.491129875,29.99670029,72.46060181,110.6520004,129.7579956,128.3200073,107.7369995,74.58660126,52.15159988,29.4762001,10.75930023,4.640769958
7,54017,13728,8.60653019,30.36520004,72.88990021,111.4410019,128.7850037,126.6689987,107.8820038,73.58309937,51.78359985,29.04019928,10.80270004,4.736519814
8,54018,13729,8.968709946,31.10549927,73.53980255,111.5599976,126.1920013,122.0429993,105.0189972,71.39659882,51.01190186,28.59379959,10.98859978,4.980529785
9,54019,13730,9.229430199,31.56640053,73.81009674,111.052002,123.7969971,118.2649994,102.9850006,69.83670044,50.47729874,28.32570076,11.09939957,5.163440228
10,54020,13731,9.297289848,31.71269989,73.75270081,110.7330017,121.7040024,115.4919968,101.6520004,68.58760071,49.11629868,27.79990005,10.99650002,5.203629971
11,54021,13732,9.251959801,31.74710083,73.92120361,110.9700012,120.6429977,115.2009964,101.7549973,69.21659851,48.75,27.37400055,10.89350033,5.172440052
12,54022,13733,9.280059814,31.85540009,74.37539673,111.8809967,119.697998,115.7369995,101.7829971,70.6359024,49.0951004,27.43289948,10.93430042,5.185629845
13,54023,13734,9.313799858,31.82040024,74.5007019,112.4059982,118.6279984,116.0650024,101.7429962,71.55249786,49.37530136,27.58130074,11.02470016,5.197020054
14,54024,13735,9.336970329,31.68630028,74.44400024,112.5,117.9219971,116.1220016,101.9029999,71.99150085,49.40779877,27.76619911,11.13409996,5.198579788
15,54025,13736,9.146439552,31.13209915,73.9673996,112.1330032,118.9609985,117.6760025,104.0400009,73.37310028,49.79380035,27.93849945,11.09029961,5.101860046
16,54026,13737,8.732179642,29.96969986,72.78939819,112.0169983,122.2139969,121.0459976,108.1760025,75.91649628,50.87149811,28.24650002,11.00220013,4.916160107
17,54027,13738,8.168549538,28.24410057,70.11750031,110.6429977,123.6849976,123.2139969,112.538002,79.03669739,52.24760056,28.45779991,10.72130013,4.631299973
18,54028,13739,7.725659847,26.96890068,68.22200012,109.4980011,125.1989975,126.5670013,117.4850006,82.35739899,53.65610123,28.4211998,10.36069965,4.351530075
19,54029,13740,7.688809872,26.50729942,67.26039886,109.0930023,127.0169983,129.7350006,121.2969971,85.28949738,55.4980011,28.99360085,10.43179989,4.323959827
20,54030,13741,7.753339767,26.35860062,67.05319977,110.0559998,129.8339996,132.5079956,123.6439972,87.79260254,57.10969925,29.57110023,10.65120029,4.352169991
