FID,Id,ORIG_FID,k26_80_1,k26_80_2,k26_80_3,k26_80_4,k26_80_5,k26_80_6,k26_80_7,k26_80_8,k26_80_9,k26_80_10,k26_80_11,k26_80_12
0,54006,13721,7.390649796,25.54840088,64.58799744,105.7519989,118.4290009,108.9889984,83.75340271,68.79840088,52.75350189,28.44519997,10.21809959,3.835230112
1,54007,13722,7.529870033,26.18530083,65.80690002,106.0979996,117.6999969,109.0739975,83.02829742,68.66699982,52.58110046,28.1317997,10.17240047,3.840310097
2,54012,13723,8.405819893,28.65309906,70.31099701,109.5660019,123.4840012,122.9339981,93.58869934,72.36669922,54.53730011,27.96039963,10.30430031,4.024469852
3,54013,13724,8.631839752,28.95089912,70.64649963,109.6699982,124.6660004,125.8820038,95.53620148,73.1964035,54.57089996,28.17760086,10.49730015,4.156400204
4,54014,13725,8.826350212,29.20359993,70.4693985,109.3909988,125.9649963,128.2839966,97.11730194,73.60590363,54.60860062,28.53409958,10.74440002,4.274769783
5,54015,13726,9.028880119,29.58849907,70.832901,109.9049988,127.0220032,129.2140045,98.28639984,73.48400116,54.50299835,28.73380089,11.00360012,4.420899868
6,54016,13727,9.058059692,29.58110046,71.09480286,110.9530029,127.7350006,129.5890045,99.51940155,73.30319977,53.97050095,28.58460045,11.07419968,4.532849789
7,54017,13728,9.133179665,29.71949959,71.78730011,111.8239975,127.4069977,128.1029968,98.83499908,72.51699829,52.97579956,28.25169945,11.13099957,4.651000023
8,54018,13729,9.513640404,30.1692009,72.44229889,111.2539978,124.776001,124.7710037,95.48439789,70.36239624,51.36880112,27.91699982,11.4090004,4.930270195
9,54019,13730,9.770409584,30.55690002,72.64330292,109.9950027,121.7289963,121.6900024,92.91529846,68.88569641,50.14619827,27.66180038,11.55760002,5.11097002
10,54020,13731,9.831680298,30.5401001,72.35150146,109.1569977,119.0770035,119.9899979,91.63639832,67.35440063,48.61199951,27.02120018,11.54100037,5.160600185
11,54021,13732,9.780329704,30.43939972,72.37879944,109.25,117.7969971,119.8089981,92.46089935,67.38680267,48.30939865,26.72739983,11.47329998,5.143640041
12,54022,13733,9.801790237,30.45730019,72.90419769,109.7979965,117.1279984,120.25,93.99310303,68.47329712,48.7018013,26.9015007,11.52169991,5.150030136
13,54023,13734,9.818090439,30.44869995,73.209198,110.0920029,116.276001,120.6760025,95.10549927,69.50090027,49.04040146,27.22410011,11.56299973,5.182340145
14,54024,13735,9.812569618,30.4102993,73.3839035,110.348999,115.5479965,120.9440002,95.69490051,70.47489929,49.23479843,27.60199928,11.56070042,5.236320019
15,54025,13736,9.638409615,29.96649933,73.35320282,110.8960037,116.9629974,122.6600037,97.61569977,72.29679871,49.57339859,27.89699936,11.48330021,5.163269997
16,54026,13737,9.271240234,29.0135994,72.69110107,111.5749969,120.9029999,126.1169968,101.0849991,74.89569855,50.43529892,28.09799957,11.33780003,5.010479927
17,54027,13738,8.662449837,27.46019936,70.6339035,110.5920029,122.2600021,128.3990021,105.0619965,77.92829895,51.60490036,28.08399963,10.93719959,4.75635004
18,54028,13739,8.161990166,26.2845993,69.02230072,109.9840012,123.9929962,132.4429932,110.052002,81.27670288,53.02640152,28.06979942,10.49040031,4.484749794
19,54029,13740,8.016770363,26.01910019,68.18450165,109.8929977,125.8889999,136.4960022,114.1800003,84.67269897,54.85639954,28.5802002,10.59449959,4.468470097
20,54030,13741,7.97619009,26.04299927,68.08409882,111.2360001,128.8289948,139.5769958,116.4759979,87.46299744,56.41350174,29.27269936,10.82849979,4.503849983
21,54031,13742,7.892990112,25.97439957,67.76010132,112.0350037,131.4160004,141.2339935,116.473999,88.17140198,56.76959991,29.58169937,10.96749973,4.503079891
22,54032,13743,7.722350121,25.61969948,66.65450287,111.2839966,133.3059998,144.2709961,117.8000031,89.18009949,56.48519897,29.36079979,10.80140018,4.423980236
23,54033,13744,7.635489941,25.52969933,66.0970993,110.7330017,135.6860046,148.0319977,119.7350006,90.43119812,56.50120163,29.23629951,10.65190029,4.396230221
24,54034,13745,7.663650036,25.81119919,66.48590088,111.1650009,138.5910034,151.3849945,121.5510025,91.3973999,56.72919846,29.31469917,10.64150047,4.424459934
25,54035,13746,7.835209846,26.64819908,68.26010132,113.5419998,141.6990051,151.9730072,121.9169998,91.07920074,56.65179825,29.49559975,10.8526001,4.546370029
26,54036,13747,8.010199547,27.4095993,69.88529968,115.7289963,145.0509949,153.9069977,122.3949966,90.28959656,55.78580093,29.35650063,10.95320034,4.637919903
27,54037,13748,8.171210289,28.01449966,70.86009979,117.8430023,149.0579987,158.1349945,125.7509995,91.3615036,56.09410095,29.68300056,11.11989975,4.700809956
28,54038,13749,8.361840248,28.61759949,71.99970245,120.439003,154.3540039,166.3209991,133.0299988,94.97090149,57.45959854,30.27479935,11.2894001,4.757239819
29,54039,13750,8.575019836,29.30739975,73.35040283,122.927002,159.772995,177.3450012,144.0279999,101.836998,60.31240082,31.37929916,11.58049965,4.820459843
30,54040,13751,8.986800194,30.44339943,75.30719757,125.0179977,161.9499969,178.4089966,145.8040009,101.6949997,59.07389832,30.85370064,11.62730026,4.93817997
31,54041,13752,9.600749969,32.14179993,78.47299957,128.2409973,163.7070007,175.25,142.9940033,97.97109985,56.18629837,30.0067997,11.77719975,5.143970013
32,54042,13753,10.22659969,33.83679962,81.81909943,132.3999939,165.5570068,174.2409973,143.4929962,97.51899719,55.47389984,29.40539932,12.11390018,5.359539986
33,54043,13754,10.47439957,34.6507988,83.24310303,134.6459961,164.3699951,171.1360016,143.0370026,96.14990234,53.88019943,28.09639931,12.07429981,5.406459808
34,54044,13755,10.5692997,34.99649811,83.74539948,135.8869934,162.3119965,167.4680023,141.1360016,93.87819672,52.1012001,26.87360001,11.92870045,5.385059834
35,54045,13756,10.65170002,35.37269974,84.39859772,137.5299988,161.503006,164.697998,139.3939972,92.6434021,51.28879929,26.34280014,11.82670021,5.381360054
36,54046,13757,10.69439983,35.29079819,83.73899841,136.6779938,160.4320068,162.0709991,137.4649963,91.90390015,51.08399963,26.3178997,11.78240013,5.411119938
37,54047,13758,10.58390045,34.80410004,82.02449799,134.371994,158.7689972,159.6829987,135.3549957,90.50849915,50.4095993,26.19939995,11.62279987,5.361849785
38,54048,13759,10.63430023,34.8484993,81.69869995,134.3580017,158.8990021,157.9730072,134.227005,89.79940033,50.36899948,26.45709991,11.72259998,5.430280209
39,54049,13760,10.82960033,35.33729935,82.79190063,137.0410004,161.2420044,157.3110046,135.6450043,90.74420166,51.49200058,27.20899963,12.02200031,5.590899944
40,54050,13761,10.9513998,35.52679825,82.80639648,136.7890015,160.2630005,157.2180023,137.897995,92.61769867,53.22930145,27.97039986,12.28740025,5.710499763
41,54051,13762,11.06569958,35.64830017,82.61019897,135.8339996,158.2380066,157.7709961,141.121994,95.59030151,55.59019852,28.82329941,12.55280018,5.829060078
42,54052,13763,11.19159985,35.88650131,82.58519745,135.1410065,157.423996,159.8110046,145.9409943,99.90589905,58.53649902,29.88369942,12.85099983,5.940010071
43,54053,13764,11.24400043,36.04079819,82.28150177,133.7940063,157.7330017,162.9830017,150.7749939,104.4209976,61.45479965,31.16049957,13.14319992,6.013249874
44,54054,13765,11.32240009,36.16830063,82.00749969,132.2819977,159.302002,167.1210022,156.9900055,110.0169983,64.89260101,32.7098999,13.47700024,6.12112999
45,54055,13766,11.36929989,36.20899963,81.93379974,131.3820038,160.548996,171.8200073,163.2330017,115.1100006,68.1516037,34.03710175,13.67440033,6.166250229
46,54056,13767,11.40410042,36.18939972,81.71489716,131.0780029,163.1569977,178.5780029,170.9519958,121.0459976,71.68360138,35.37369919,13.8572998,6.220210075
47,54057,13768,11.54950047,36.59949875,82.75650024,133.0410004,166.9329987,185.0899963,177.2480011,126.8710022,74.75849915,36.48429871,14.11450005,6.295199871
48,54058,13769,11.70330048,37.11989975,84.20950317,135.8760071,171.1990051,191.4819946,182.5169983,131.8390045,77.47019958,37.22280121,14.25290012,6.338260174
49,54059,13770,11.83920002,37.51530075,85.48539734,138.8119965,175.3049927,197.1970062,186.6499939,135.2030029,79.82659912,37.68510056,14.28380013,6.34803009
50,54060,13771,11.93360043,37.9382019,86.48549652,140.697998,177.7050018,201.0319977,188.4199982,136.0220032,80.85510254,37.75960159,14.27130032,6.356639862
51,54061,13772,11.98770046,38.34270096,87.61229706,142.3240051,179.8379974,204.5130005,190.6080017,137.2359924,81.68019867,37.71569824,14.2038002,6.352570057
52,54062,13773,11.9847002,38.53480148,88.44760132,143.4669952,181.4759979,207.0420074,192.7949982,138.9100037,82.16130066,37.55670166,14.0948,6.347000122
53,54063,13774,11.96240044,38.77980042,89.55599976,144.1600037,182.1779938,208.3450012,193.7709961,140.4600067,82.07099915,37.14929962,13.95960045,6.355249882
54,54064,13775,11.94659996,38.96279907,90.43280029,145.0829926,182.9909973,209.3710022,194.3950043,141.0749969,81.67179871,36.64640045,13.7947998,6.305840015
55,54065,13776,11.95769978,39.29800034,91.34149933,146.7429962,184.1150055,210.3730011,194.8049927,141.897995,81.5943985,36.22259903,13.64009953,6.270460129
56,54066,13777,11.94620037,39.44960022,91.39620209,147.128006,185.0939941,210.3970032,194.0500031,141.7610016,80.97470093,35.89839935,13.5010004,6.249070168
57,54067,13778,12.05790043,39.78319931,91.9673996,147.7610016,185.9470062,210.1920013,193.0149994,141.2660065,80.44730377,35.85350037,13.54109955,6.314519882
58,54068,13779,12.21380043,40.20669937,92.66670227,148.2700043,186.0220032,210.1820068,192.1100006,140.7839966,79.84690094,35.66839981,13.60140038,6.387070179
59,54069,13780,12.36979961,40.65259933,93.33979797,148.4799957,185.3130035,210.4750061,191.4450073,140.4389954,79.12020111,35.25600052,13.60060024,6.426070213
60,54070,13781,12.40909958,41.02730179,94.04019928,149.0910034,185.0700073,210.8569946,190.8829956,140.1060028,78.37860107,34.55089951,13.3373003,6.300660133
61,54071,13782,12.44719982,41.08879852,94.36660004,149.298996,184.3249969,210.3300018,189.5690002,138.7749939,77.55919647,34.07569885,13.29740047,6.283780098
62,54072,13783,12.5539999,40.98770142,94.62149811,149.1199951,183.0429993,208.9640045,187.1360016,136.3619995,76.11100006,33.80889893,13.4829998,6.332429886
63,54073,13784,12.67240047,40.95569992,94.99030304,149.2189941,182.4519958,208.1900024,185.4179993,134.7039948,75.16919708,33.73260117,13.78960037,6.457280159
64,54074,13785,12.83069992,41.16740036,95.38459778,149.1260071,181.9559937,206.5059967,184.298996,133.0870056,74.40920258,33.62490082,14.11919975,6.576889992
65,54075,13786,12.97700024,41.5284996,96.0714035,149.9519958,182.3220062,205.3560028,183.6459961,131.9629974,73.91609955,33.58209991,14.37030029,6.678500175
66,54076,13787,13.20339966,42.07479858,97.32530212,151.7980042,183.5110016,203.9409943,182.7160034,130.9160004,73.72000122,33.63119888,14.67160034,6.806409836
67,54077,13788,13.35299969,42.37549973,97.97799683,153.3240051,184.9100037,201.901001,181.2169952,129.7920074,72.98860168,33.41690063,14.79209995,6.875629902
68,54078,13789,13.45610046,42.7322998,98.64440155,154.2160034,186.1450043,200.0820007,180.1380005,129.0859985,72.34619904,33.40259933,14.88300037,6.922200203
69,54079,13790,13.59350014,43.10609818,99.24230194,154.7960052,186.8049927,198.3359985,178.9700012,128.220993,71.93689728,33.53659821,14.9975996,6.969230175
70,54080,13791,13.78219986,43.47359848,99.80560303,155.8690033,186.9470062,197.0679932,177.7369995,127.487999,71.82240295,33.68280029,15.14550018,7.025400162
71,54081,13792,14.01840019,43.9693985,100.5029984,157.2079926,187.1450043,194.8410034,176.2579956,126.572998,71.71700287,33.90439987,15.3135004,7.099329948
72,54082,13793,14.15200043,44.46870041,101.3349991,158.548996,187.5500031,193.8170013,176.0149994,126.5800018,71.58950043,34.14690018,15.47970009,7.180210114
73,54083,13794,14.27610016,44.98320007,102.3669968,160.1309967,188.2019958,193.3090057,176.4490051,126.6969986,71.20839691,34.37400055,15.56849957,7.242060184
74,54084,13795,14.31659985,45.20980072,102.8410034,160.9960022,188.822998,194.1080017,177.4060059,127.0859985,70.7417984,34.3484993,15.38780022,7.19603014
75,54085,13796,14.25440025,45.81880188,105.3330002,167.0639954,196.8639984,197.9320068,180.2519989,128.3209991,70.63189697,33.26580048,13.93309975,6.731110096
76,54101,13797,11.38430023,44.27519989,109.2360001,176.9380035,200.1609955,187.9400024,170.4640045,118.7160034,63.30670166,28.69420052,10.33100033,4.652609825
77,54102,13798,12.02200031,44.39830017,107.9950027,174.5110016,196.4720001,184.6380005,167.6450043,116.9000015,62.20980072,29.29380035,11.20189953,5.234660149
78,54103,13799,12.83839989,44.63420105,106.5979996,172.2539978,193.4730072,179.2070007,162.375,113.7850037,61.3716011,30.06430054,12.4435997,6.026070118
79,54104,13800,13.3998003,45.20009995,106.1709976,172.7420044,195.746994,176.4230042,157.8209991,111.1200027,61.07889938,30.66760063,13.19480038,6.458660126
80,54105,13801,13.51949978,45.17399979,105.651001,172.7599945,197.3430023,174.5090027,153.8959961,108.3320007,59.81629944,30.40430069,13.36310005,6.538660049
81,54106,13802,13.58230019,45.22470093,105.4430008,172.9799957,197.8630066,172.2590027,150.4360046,105.9499969,58.74160004,30.11129951,13.38549995,6.56908989
82,54107,13803,13.53139973,45.15750122,104.8730011,172.3890076,196.423996,169.0370026,147.9940033,104.3759995,58.12120056,29.83679962,13.21000004,6.551869869
83,54108,13804,13.44830036,44.88079834,104.1819992,171.0540009,194.8450012,166.1450043,146.302002,103.4499969,58.00730133,29.70549965,12.99800014,6.534580231
84,54109,13805,13.3032999,44.48479843,103.723999,170.1199951,192.4730072,163.9230042,145.8119965,103.2279968,58.26929855,29.61450005,12.67230034,6.435309887
85,54110,13806,13.00179958,44.15739822,103.9990005,170.9459991,192.0910034,164.7550049,147.3999939,104.427002,59.48239899,29.46570015,11.9034996,6.084780216
86,54114,13807,11.56659985,41.20100021,99.53469849,163.4649963,181.4060059,167.927002,149.3350067,106.5749969,61.67910004,27.96899986,10.14630032,4.80866003
87,54115,13808,11.42619991,40.45709991,97.40820313,159.9609985,178.3860016,167.0119934,145.6419983,104.4840012,61.13119888,28.02910042,10.38169956,4.877930164
88,54177,13809,6.802810192,22.00449944,57.09980011,103.4079971,147.8269958,155.1320038,131.5839996,99.34059906,65.24990082,30.96969986,10.49540043,3.928539991
89,54178,13810,7.0458498,22.83029938,59.32049942,109.3440018,157.6459961,170.3950043,146.2810059,111.0800018,69.55889893,32.13980103,10.91580009,3.991790056
90,54179,13811,0,0,0,0,0,0,0,0,0,0,0,0
91,54184,13812,6.604599953,21.50119972,57.38779831,106.8980026,158.4609985,177.5110016,153.4920044,110.1149979,64.60759735,29.39620018,9.415410042,3.78489995
92,54185,13813,6.622710228,21.53750038,56.86429977,104.5439987,153.973999,176.2259979,152.0350037,107.1529999,61.79449844,28.44109917,9.12677002,3.768130064
93,54186,13814,6.728829861,21.98340034,57.43379974,103.4690018,150.0079956,173.6549988,149.3300018,103.4830017,58.87509918,27.20229912,8.810279846,3.7739501
94,54187,13815,6.939889908,22.81629944,59.08010101,104.7139969,148.8829956,171.5359955,147.4299927,100.413002,56.67879868,26.11459923,8.558719635,3.805989981
95,54188,13816,7.035459995,23.28450012,60.13410187,105.7570038,148.6210022,170.5859985,147.9570007,100.1539993,56.24520111,25.57060051,8.38368988,3.808749914
96,54189,13817,7.052100182,23.53739929,61.0082016,106.2180023,148.7220001,172.1840057,151.9279938,103.0569992,57.14899826,25.45369911,8.214090347,3.764970064
97,54190,13818,7.133299828,23.81509972,61.23659897,106.125,147.8670044,173.1309967,155.1360016,105.5139999,58.26620102,25.62179947,8.206159592,3.759569883
98,54191,13819,7.296840191,24.34059906,61.75270081,106.6090012,147.5650024,174.9720001,158.9819946,108.7659988,60.11500168,26.1711998,8.27875042,3.790920019
99,54192,13820,7.48511982,25.0781002,62.76070023,108.6529999,149.901001,178.3500061,163.923996,112.8509979,62.70050049,26.98460007,8.355259895,3.850189924
100,54193,13821,7.659500122,25.80789948,63.9341011,111.5469971,153.7510071,182.6049957,169.3910065,117.3000031,65.78939819,28.04540062,8.445989609,3.905299902
101,54194,13822,7.721210003,26.12870026,64.37270355,113.8880005,157.3269958,186.7230072,174.6529999,121.6029968,68.69989777,29.13369942,8.526579857,3.915169954
102,54195,13823,7.781260014,26.28650093,64.01989746,115.1419983,161.3350067,190.8829956,179.3809967,126.0589981,71.74720001,30.26930046,8.799090385,3.933449984
103,54196,13824,7.823190212,26.3295002,63.58250046,116.6600037,165.9759979,196.2039948,184.2259979,130.625,74.56130219,31.31439972,9.085260391,3.943380117
104,54197,13825,7.785649776,26.29439926,64.0094986,119.8539963,171.7310028,202.9819946,190.5690002,135.6710052,77.08840179,32.41609955,9.363400459,3.929830074
105,54198,13826,7.394929886,25.71190071,65.24829865,124.7720032,178.6820068,211.0059967,197.3639984,140.8569946,78.69159698,32.84759903,9.336239815,3.764290094
106,54199,13827,6.983520031,25.00659943,66.14620209,128.5240021,184.1589966,217.2700043,202.9499969,144.9060059,79.58529663,32.79700089,9.196949959,3.602050066
107,54200,13828,6.710120201,24.72830009,66.45929718,129.8899994,186.7460022,220.5330048,206.1620026,147.6840057,79.89890289,32.68130112,9.119440079,3.514240026
108,54201,13829,6.72176981,24.9333992,66.85310364,129.3739929,186.0509949,219.8970032,205.470993,147.8289948,79.32299805,32.60739899,9.103030205,3.510499954
109,54202,13830,6.795829773,25.28960037,66.43979645,127.9049988,183.9060059,218.2279968,203.4100037,147.302002,78.07939911,32.16139984,9.141839981,3.538419962
110,54203,13831,6.926469803,25.75819969,66.20300293,126.1439972,181.1569977,216.0169983,200.6300049,145.6900024,76.38220215,31.43440056,9.092160225,3.580490112
111,54204,13832,7.119279861,26.36560059,66.47989655,124.4250031,177.9309998,213.2819977,197.3739929,143.0509949,74.38600159,30.53919983,8.946260452,3.630389929
112,54205,13833,7.150400162,26.60280037,66.60089874,123.0210037,175.2279968,210.4329987,194.4129944,140.647995,72.126297,29.42860031,8.671079636,3.57329011
113,54206,13834,7.261569977,27.00429916,66.96929932,122.2040024,173.7279968,208.2180023,193.0119934,139.8179932,71.16739655,29.05590057,8.646269798,3.599240065
114,54207,13835,7.468699932,27.49329948,67.39230347,121.7850037,172.6150055,206.6410065,192.470993,139.3580017,70.37860107,28.85250092,8.694649696,3.658600092
115,54208,13836,7.65707016,27.97109985,67.58920288,121.7200012,172.4389954,205.3079987,192.1199951,139.5299988,69.92510223,28.69000053,8.797579765,3.723010063
116,54209,13837,7.849339962,28.12290001,67.67310333,121.3700027,172.3390045,204.5559998,192.4100037,139.3899994,69.40679932,28.33359909,8.933429718,3.825700045
117,54210,13838,7.929940224,28.19799995,68.2990036,121.1470032,172.3209991,203.776001,192.3190002,139.102005,68.87000275,27.87870026,8.95168972,3.86977005
118,54211,13839,8.14523983,29.22970009,71.46499634,123.3239975,173.9029999,204.8919983,194.0079956,139.7350006,68.14530182,27.15200043,8.933890343,3.928309917
